Scenario,Region,Tech,TechName,Capacity (MW),Heat Rate (GJ/GWh),Variable operating costs (NZD/MWh),Fixed operating costs (NZD/kW/year),Fuel delivery costs (NZD/GJ),Capital cost (NZD/kW),Connection cost (NZD $m),Total Capital costs (NZD $m),Earliest Commissioning Year,Fixed Commissioning Year,Plants grouped
Constraint,Auckland,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Constraint,Auckland,OthCog,"Cogeneration, other",0.000000,1000.000000,11.308229,96.591125,0.000000,,,,,,1
Constraint,Auckland,Solar,Solar,294.000000,3600.000000,0.000000,23.558811,0.000000,1352.267306,140.455891,538.022479,2025,,4
Constraint,Auckland,Wind,Wind,335.000000,3600.000000,0.000000,50.173235,0.000000,2899.732497,120.485609,1091.895995,2027,,3
Constraint,Bay of Plenty,Geo,Geothermal,283.500000,12000.000000,0.000000,223.808703,0.000000,7205.363406,70.676433,1036.195129,2030,,7
Constraint,Bay of Plenty,HydSC,"Hydro, schedulable",172.900000,3600.000000,0.000000,116.463264,0.000000,,,,,,2
Constraint,Bay of Plenty,Solar,Solar,432.000000,3600.000000,0.000000,23.558811,0.000000,1080.601848,28.810000,461.050739,,2024,4
Constraint,Bay of Plenty,Solar,Solar,444.000000,3600.000000,0.000000,23.558811,0.000000,1187.565810,155.136179,682.415398,2025,,5
Constraint,Canterbury,BioRecip,Reciprocating Biogas engine,10.000000,11400.000000,16.012294,21.173282,0.000000,2679.644216,0.661665,27.458107,2035,,1
Constraint,Canterbury,HydPK,"Hydro, peaking",35.000000,3600.000000,0.000000,76.300527,0.000000,4044.096805,5.160987,146.704376,,,1
Constraint,Canterbury,HydRR,"Hydro, run of river",138.000000,3600.000000,0.000000,77.074472,0.000000,6238.134970,37.063830,897.926455,,,4
Constraint,Canterbury,HydSC,"Hydro, schedulable",1809.300000,3600.000000,0.000000,63.055332,0.000000,,,,,,3
Constraint,Canterbury,Solar,Solar,63.000000,3600.000000,0.000000,23.558811,0.000000,1530.920870,34.570000,131.018015,,2024,1
Constraint,Canterbury,Solar,Solar,1826.000000,3600.000000,0.000000,22.842587,0.000000,1093.541555,364.974921,2361.781801,2020,,13
Constraint,Canterbury,Wind,Wind,270.600000,3600.000000,0.000000,51.172323,0.000000,2320.897177,133.816580,761.851356,2025,,3
Constraint,Hawke's Bay,DslPkr,"Peaker, diesel-fired OCGT",155.000000,11000.000000,13.664110,27.092632,3.133322,,,,,,1
Constraint,Hawke's Bay,HydSC,"Hydro, schedulable",138.000000,3600.000000,0.000000,75.584954,0.000000,,,,,,1
Constraint,Hawke's Bay,Solar,Solar,70.000000,3600.000000,0.000000,23.558811,0.000000,1409.841185,36.645730,135.334613,,2024,1
Constraint,Hawke's Bay,Solar,Solar,383.000000,3600.000000,0.000000,23.209212,0.000000,1210.064713,96.170654,559.625439,2025,,4
Constraint,Hawke's Bay,Wind,Wind,176.000000,3600.000000,0.000000,41.239698,0.000000,2479.818246,21.518302,457.966314,,2024,1
Constraint,Hawke's Bay,Wind,Wind,200.000000,3600.000000,0.000000,54.370791,0.000000,2400.370869,192.440146,672.514320,,,2
Constraint,Manawatū-Whanganui,HydSC,"Hydro, schedulable",39.000000,3600.000000,0.000000,76.085855,0.000000,,,,,,1
Constraint,Manawatū-Whanganui,Solar,Solar,494.000000,3600.000000,0.000000,23.558811,0.000000,1225.277132,172.614455,777.901358,2024,,8
Constraint,Manawatū-Whanganui,Wind,Wind,2319.150000,3600.000000,0.000000,49.349252,0.000000,2478.644990,513.603339,4976.403643,2024,,18
