generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count
gas_flexible,auckland,gas_flexible,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,1
solar_flexible,auckland,solar_flexible,1099972.888856,0.000000,1.000000,1774.000000,0.000000,2025,2025,,flexible,1
thermal_other_flexible,auckland,thermal_other_flexible,,11.308229,1.000000,0.000000,0.000000,,,,flexible,1
wind_flexible,auckland,wind_flexible,2224237.068351,0.000000,1.000000,460.000000,0.000000,2027,2027,,flexible,1
geo_flexible,bay_of_plenty,geo_flexible,5947224.944036,0.000000,0.300000,333.500000,0.000000,2030,2030,,flexible,1
hydro_flexible,bay_of_plenty,hydro_flexible,,0.000000,1.000000,172.900000,0.000000,,,,flexible,1
solar_fixed,bay_of_plenty,solar_fixed,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,1
solar_flexible,bay_of_plenty,solar_flexible,1067791.466393,0.000000,1.000000,764.000000,0.000000,2020,2020,,flexible,1
hydro_flexible,canterbury,hydro_flexible,5409988.983986,0.000000,1.000000,2552.300000,0.000000,,,,flexible,3
solar_fixed,canterbury,solar_fixed,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,1
solar_flexible,canterbury,solar_flexible,957070.457845,0.000000,1.000000,4006.000000,0.000000,2020,2020,,flexible,1
thermal_other_flexible,canterbury,thermal_other_flexible,2169235.793804,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,1
wind_flexible,canterbury,wind_flexible,1944827.876527,0.000000,1.000000,470.600000,0.000000,2025,2025,,flexible,1
diesel_flexible,hawkes_bay,diesel_flexible,,48.130651,0.327273,155.000000,0.000000,,,,flexible,1
hydro_flexible,hawkes_bay,hydro_flexible,,0.000000,1.000000,138.000000,0.000000,,,,flexible,1
solar_fixed,hawkes_bay,solar_fixed,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,1
solar_flexible,hawkes_bay,solar_flexible,992413.998960,0.000000,1.000000,583.000000,0.000000,2025,2025,,flexible,1
wind_fixed,hawkes_bay,wind_fixed,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,1
wind_flexible,hawkes_bay,wind_flexible,1961957.278238,0.000000,1.000000,475.000000,0.000000,,,,flexible,1
hydro_flexible,manawatu_whanganui,hydro_flexible,,0.000000,1.000000,39.000000,0.000000,,,,flexible,1
solar_flexible,manawatu_whanganui,solar_flexible,1047601.328969,0.000000,1.000000,974.000000,0.000000,2024,2024,,flexible,1
wind_flexible,manawatu_whanganui,wind_flexible,2115669.328416,0.000000,1.000000,2419.150000,0.000000,2024,2024,,flexible,1
hydro_flexible,marlborough,hydro_flexible,4528567.957406,0.000000,1.000000,72.000000,0.000000,,,,flexible,1
