scenario,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
Constraint,gaspkr,auckland,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Auckland,5.418526,2.650366,11750.000000,39.578802,403.479281,3
Constraint,othcog,auckland,othcog,,11.308229,1.000000,0.000000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Auckland,96.591125,0.000000,1000.000000,,,1
Constraint,solar,auckland,solar,1352267.305790,0.000000,1.000000,294.000000,0.000000,2025,2025,,flexible,Solar,Solar,Auckland,23.558811,0.000000,3600.000000,140.455891,538.022479,4
Constraint,wind,auckland,wind,2899732.496717,0.000000,1.000000,335.000000,0.000000,2027,2027,,flexible,Wind,Wind,Auckland,50.173235,0.000000,3600.000000,120.485609,1091.895995,3
Constraint,geo,bay_of_plenty,geo,7205363.406470,0.000000,0.300000,283.500000,0.000000,2030,2030,,flexible,Geo,Geothermal,Bay of Plenty,223.808703,0.000000,12000.000000,70.676433,1036.195129,7
Constraint,hydsc,bay_of_plenty,hydsc,,0.000000,1.000000,172.900000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Bay of Plenty,116.463264,0.000000,3600.000000,,,2
Constraint,solar,bay_of_plenty,solar,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,28.810000,461.050739,4
Constraint,solar,bay_of_plenty,solar,1187565.809583,0.000000,1.000000,444.000000,0.000000,2025,2025,,flexible,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,155.136179,682.415398,5
Constraint,biorecip,canterbury,biorecip,2679644.215876,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,BioRecip,Reciprocating Biogas engine,Canterbury,21.173282,0.000000,11400.000000,0.661665,27.458107,1
Constraint,hydpk,canterbury,hydpk,4044096.805421,0.000000,1.000000,35.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Canterbury,76.300527,0.000000,3600.000000,5.160987,146.704376,1
Constraint,hydrr,canterbury,hydrr,6238134.969906,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Canterbury,77.074472,0.000000,3600.000000,37.063830,897.926455,4
Constraint,hydsc,canterbury,hydsc,,0.000000,1.000000,1809.300000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Canterbury,63.055332,0.000000,3600.000000,,,3
Constraint,solar,canterbury,solar,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,Solar,Solar,Canterbury,23.558811,0.000000,3600.000000,34.570000,131.018015,1
Constraint,solar,canterbury,solar,1093541.555485,0.000000,1.000000,1826.000000,0.000000,2020,2020,,flexible,Solar,Solar,Canterbury,22.842587,0.000000,3600.000000,364.974921,2361.781801,13
Constraint,wind,canterbury,wind,2320897.177078,0.000000,1.000000,270.600000,0.000000,2025,2025,,flexible,Wind,Wind,Canterbury,51.172323,0.000000,3600.000000,133.816580,761.851356,3
Constraint,dslpkr,hawkes_bay,dslpkr,,48.130651,0.327273,155.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Hawke's Bay,27.092632,3.133322,11000.000000,,,1
Constraint,hydsc,hawkes_bay,hydsc,,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Hawke's Bay,75.584954,0.000000,3600.000000,,,1
Constraint,solar,hawkes_bay,solar,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,Solar,Solar,Hawke's Bay,23.558811,0.000000,3600.000000,36.645730,135.334613,1
Constraint,solar,hawkes_bay,solar,1210064.712914,0.000000,1.000000,383.000000,0.000000,2025,2025,,flexible,Solar,Solar,Hawke's Bay,23.209212,0.000000,3600.000000,96.170654,559.625439,4
Constraint,wind,hawkes_bay,wind,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,Wind,Wind,Hawke's Bay,41.239698,0.000000,3600.000000,21.518302,457.966314,1
Constraint,wind,hawkes_bay,wind,2400370.869345,0.000000,1.000000,200.000000,0.000000,,,,flexible,Wind,Wind,Hawke's Bay,54.370791,0.000000,3600.000000,192.440146,672.514320,2
Constraint,hydsc,manawatu_whanganui,hydsc,,0.000000,1.000000,39.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Manawatū-Whanganui,76.085855,0.000000,3600.000000,,,1
Constraint,solar,manawatu_whanganui,solar,1225277.131547,0.000000,1.000000,494.000000,0.000000,2024,2024,,flexible,Solar,Solar,Manawatū-Whanganui,23.558811,0.000000,3600.000000,172.614455,777.901358,8
Constraint,wind,manawatu_whanganui,wind,2478644.989932,0.000000,1.000000,2319.150000,0.000000,2024,2024,,flexible,Wind,Wind,Manawatū-Whanganui,49.349252,0.000000,3600.000000,513.603339,4976.403643,18
Constraint,hydrr,marlborough,hydrr,5594113.359148,0.000000,1.000000,72.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Marlborough,74.317368,0.000000,3600.000000,13.881733,416.657895,1
Constraint,solar,marlborough,solar,2154971.442475,0.000000,1.000000,65.000000,0.000000,2026,2026,,flexible,Solar,Solar,Marlborough,22.217452,0.000000,3600.000000,34.560000,174.633144,2
Constraint,wind,marlborough,wind,2271899.932529,0.000000,1.000000,125.000000,0.000000,,,,flexible,Wind,Wind,Marlborough,49.645482,0.000000,3600.000000,45.821887,329.809379,2
Constraint,hydsc,nelson,hydsc,,0.000000,1.000000,32.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Nelson,76.464087,0.000000,3600.000000,,,1
Constraint,solar,nelson,solar,1067366.543478,0.000000,1.000000,130.000000,0.000000,,,,flexible,Solar,Solar,Nelson,23.558811,0.000000,3600.000000,31.690000,170.447651,1
Constraint,dslpkr,northland,dslpkr,,50.898764,0.330094,9.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Northland,22.380870,3.133322,10906.000000,,,1
Constraint,gaspkr,northland,gaspkr,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,GasPkr,"Peaker, gas-fired OCGT",Northland,5.418526,2.650366,11750.000000,13.192934,134.493094,1
Constraint,geo,northland,geo,9470483.948256,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,Geo,Geothermal,Northland,223.808703,0.000000,12000.000000,53.007324,829.587008,5
Constraint,solar,northland,solar,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,Solar,Solar,Northland,20.444943,0.000000,3600.000000,24.200000,54.180998,1
Constraint,solar,northland,solar,1147232.251113,0.000000,1.000000,525.700000,0.000000,2024,2024,,flexible,Solar,Solar,Northland,23.558811,0.000000,3600.000000,147.166336,713.554898,8
Constraint,wind,northland,wind,2287716.127731,0.000000,1.000000,548.000000,0.000000,2024,2024,,flexible,Wind,Wind,Northland,49.718140,0.000000,3600.000000,224.609703,1478.278141,4
Constraint,biorecip,otago,biorecip,2679644.215876,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,BioRecip,Reciprocating Biogas engine,Otago,21.173282,0.000000,11400.000000,0.661665,27.458107,1
Constraint,hydpk,otago,hydpk,2957201.677961,0.000000,1.000000,17.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Otago,153.132623,0.000000,3600.000000,17.203291,67.475720,1
Constraint,hydrr,otago,hydrr,6228844.994158,0.000000,1.000000,725.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Otago,64.790447,0.000000,3600.000000,75.297483,4591.210104,4
