POC,Nwk_Code,Generation_Type,zone,annual_energy_gwh
ABY0111,ALPE,GN,canterbury,10.636973
ALB0331,VECT,GN,auckland,617.574515
ALB1101,VECT,GN,auckland,274.045904
APS0111,ORON,GN,canterbury,1.104555
ARA2201,MRPL,GG,waikato,0.759140
ARG1101,CNIR,GG,marlborough,0.146594
ARI1101,MRPL,GG,waikato,0.403521
ARI1102,MRPL,GG,waikato,0.899750
ARI1102,POCO,GN,waikato,99.157553
ASB0661,EASH,GN,canterbury,475.571758
ASY0111,MPAS,GD,canterbury,34.625732
ASY0111,MPOW,GN,canterbury,42.267945
ATI2201,MRPL,GN,waikato,2.121780
AVI2201,MERI,GG,otago,0.851345
BAL0331,OTPO,GN,otago,161.823346
BDE0111,RAYN,GD,southland,53.449781
BDE0111,SOLE,GD,southland,0.044335
BEN2202,MERI,GG,otago,1.459617
BLN0331,MARL,GN,marlborough,384.862434
BOB1101,COUP,GN,auckland,488.287563
BPD1101,ALPE,GN,canterbury,56.702963
BPE0331,POCO,GN,manawatu_whanganui,284.999257
BPE0551,NZRN,GD,manawatu_whanganui,1.977527
BPT1101,WATA,GD,otago,30.358103
BRB0331,MERI,GG,northland,21.482326
BRB0331,NPOW,GN,northland,97.397785
BRK0331,POCO,GN,manawatu_whanganui,126.433757
BRY0661,ORON,GN,canterbury,682.547203
BWK1101,CNIR,GG,otago,0.068776
CBG0111,WAIP,GN,waikato,227.803317
CLH0111,ORON,GN,canterbury,2.685361
CML0331,DUNE,GN,otago,216.169927
COL0111,ORON,GN,canterbury,1.290575
COL0661,CNIR,GG,canterbury,0.057357
CPK0111,CKHK,GN,wellington,86.371285
CPK0331,CKHK,GN,wellington,618.187064
CST0331,POCO,GN,taranaki,282.449990
CUL0331,MPOW,GN,canterbury,70.800880
CUL0661,MPOW,GN,canterbury,30.679227
CYD0331,CTCT,GD,otago,1.688533
CYD0331,DUNE,GN,otago,8.546158
CYD2201,CTCT,GG,otago,0.109081
DOB0331,WPOW,GN,west_coast,14.394360
DVK0111,SCAN,GN,hawkes_bay,66.508444
EDG0331,HEDL,GN,bay_of_plenty,265.526114
EDN0331,TPCO,GN,southland,258.231830
FHL0331,HAWK,GN,hawkes_bay,300.952002
FKN0331,DUNE,GN,otago,282.812100
FKN0331,LLNW,GN,otago,60.468678
GFD0331,CKHK,GN,wellington,270.729605
GLN0331,NZST,GD,auckland,690.825515
GLN0332,COUP,GN,auckland,150.244156
GLN0332,CTCT,GG,auckland,0.000000
GLN0332,NZST,GN,auckland,9.803861
GOR0331,TPCO,GN,southland,131.915947
GYM0661,WPOW,GN,west_coast,55.832650
GYT0331,POCO,GN,wellington,68.911435
HAM0111,WAIK,GN,waikato,133.923100
HAM0331,WAIK,GN,waikato,671.831010
HAM0551,NZRN,GD,waikato,1.508313
HAY0111,CKHK,GN,wellington,70.853848
HAY0331,CKHK,GN,wellington,77.340855
HEN0331,VECT,GN,auckland,641.302968
HEP0331,VECT,GN,auckland,620.265042
HIN0331,POCO,GN,waikato,99.908870
HKK0661,WPOW,GN,west_coast,44.154691
HLY0331,WAIK,GN,waikato,147.228338
HLY2201,GENE,GG,waikato,5.435201
HOB1101,VECT,GN,auckland,273.620870
HOR0331,ORON,GN,canterbury,70.659300
HOR0661,ORON,GN,canterbury,40.704646
HRP2201,MERI,GG,hawkes_bay,0.506163
HTI0331,LINE,GN,waikato,101.771594
HTI1101,LINE,GN,waikato,57.575694
HTU0331,WAIP,GN,waikato,24.642563
HUI0331,POCO,GN,taranaki,138.083685
HWA0331,POCO,GN,taranaki,153.002354
HWA0332,KUPE,GD,taranaki,84.086577
HWA1101,CNIR,GG,taranaki,0.024713
HWA1101,KIWI,GG,taranaki,0.152243
HWA1102,KIWI,GG,taranaki,0.107401
HWB0331,DUNE,GN,otago,345.817297
HWB0331,OTPO,GN,otago,33.419371
INV0331,ELIN,GN,southland,249.200702
INV0331,TPCO,GN,southland,276.923525
INV0661,TPCO,GN,southland,0.061380
ISL0331,ORON,GN,canterbury,390.798495
ISL0661,ORON,GN,canterbury,2192.369074
