Trading_Date,POC,Nwk_Code,Generation_Type,nrr_id,nrr_name,mapping_stage,zone
2025-03-01,TNG0111,WNST,GN,,,,
2025-04-01,TNG0111,WNST,GN,,,,
2025-05-01,TNG0111,WNST,GN,,,,
2025-06-01,TNG0111,WNST,GN,,,,
2025-07-01,TNG0111,WNST,GN,,,,
2025-08-01,TNG0111,WNST,GN,,,,
2025-09-01,TNG0111,WNST,GN,,,,
2025-10-01,TNG0111,WNST,GN,,,,
2025-11-01,TNG0111,WNST,GN,,,,
2025-12-01,TNG0111,WNST,GN,,,,
2025-03-02,TNG0111,WNST,GN,,,,
2025-04-02,TNG0111,WNST,GN,,,,
2025-05-02,TNG0111,WNST,GN,,,,
2025-06-02,TNG0111,WNST,GN,,,,
2025-07-02,TNG0111,WNST,GN,,,,
2025-08-02,TNG0111,WNST,GN,,,,
2025-09-02,TNG0111,WNST,GN,,,,
2025-01-05,HTU0331,WAIP,GN,,,,
2025-02-05,HTU0331,WAIP,GN,,,,
2025-03-05,HTU0331,WAIP,GN,,,,
2025-04-05,HTU0331,WAIP,GN,,,,
2025-01-06,HTU0331,WAIP,GN,,,,
2025-02-06,HTU0331,WAIP,GN,,,,
2025-03-06,HTU0331,WAIP,GN,,,,
2025-04-06,HTU0331,WAIP,GN,,,,
2025-01-07,HTU0331,WAIP,GN,,,,
2025-02-07,HTU0331,WAIP,GN,,,,
2025-03-07,HTU0331,WAIP,GN,,,,
2025-04-07,HTU0331,WAIP,GN,,,,
2025-01-08,HTU0331,WAIP,GN,,,,
2025-02-08,HTU0331,WAIP,GN,,,,
2025-03-08,HTU0331,WAIP,GN,,,,
2025-04-08,HTU0331,WAIP,GN,,,,
2025-08-22,KAW2201,TAOM,GG,,,,
2025-08-23,KAW2201,TAOM,GG,,,,
2025-08-24,KAW2201,TAOM,GG,,,,
2025-08-25,KAW2201,TAOM,GG,,,,
2025-08-26,KAW2201,TAOM,GG,,,,
2025-08-27,KAW2201,TAOM,GG,,,,
2025-08-28,KAW2201,TAOM,GG,,,,
2025-08-29,KAW2201,TAOM,GG,,,,
2025-08-30,KAW2201,TAOM,GG,,,,
2025-08-31,KAW2201,TAOM,GG,,,,
2025-09-15,GLN0332,CTCT,GG,,,,
2025-09-16,GLN0332,CTCT,GG,,,,
2025-09-17,GLN0332,CTCT,GG,,,,
2025-09-18,GLN0332,CTCT,GG,,,,
2025-09-19,GLN0332,CTCT,GG,,,,
2025-09-20,GLN0332,CTCT,GG,,,,
2025-09-21,GLN0332,CTCT,GG,,,,
2025-09-22,GLN0332,CTCT,GG,,,,
2025-09-23,GLN0332,CTCT,GG,,,,
2025-09-24,GLN0332,CTCT,GG,,,,
2025-09-25,GLN0332,CTCT,GG,,,,
2025-09-26,GLN0332,CTCT,GG,,,,
2025-09-27,GLN0332,CTCT,GG,,,,
2025-09-28,GLN0332,CTCT,GG,,,,
2025-09-29,GLN0332,CTCT,GG,,,,
2025-09-30,GLN0332,CTCT,GG,,,,
2025-01-09,HTU0331,WAIP,GN,,,,
2025-02-09,HTU0331,WAIP,GN,,,,
2025-03-09,HTU0331,WAIP,GN,,,,
2025-04-09,HTU0331,WAIP,GN,,,,
2025-08-09,INV0661,TPCO,GN,,,,
2025-01-09,KAW2201,TAOM,GG,,,,
2025-02-09,KAW2201,TAOM,GG,,,,
2025-03-09,KAW2201,TAOM,GG,,,,
2025-04-09,KAW2201,TAOM,GG,,,,
2025-05-09,KAW2201,TAOM,GG,,,,
2025-06-09,KAW2201,TAOM,GG,,,,
2025-07-09,KAW2201,TAOM,GG,,,,
2025-08-09,KAW2201,TAOM,GG,,,,
2025-09-09,KAW2201,TAOM,GG,,,,
2025-10-09,KAW2201,TAOM,GG,,,,
2025-11-09,KAW2201,TAOM,GG,,,,
2025-12-09,KAW2201,TAOM,GG,,,,
2025-09-13,KAW2201,TAOM,GG,,,,
2025-09-14,KAW2201,TAOM,GG,,,,
2025-09-15,KAW2201,TAOM,GG,,,,
2025-09-16,KAW2201,TAOM,GG,,,,
2025-09-17,KAW2201,TAOM,GG,,,,
2025-09-18,KAW2201,TAOM,GG,,,,
2025-09-19,KAW2201,TAOM,GG,,,,
2025-09-20,KAW2201,TAOM,GG,,,,
2025-09-21,KAW2201,TAOM,GG,,,,
2025-09-22,KAW2201,TAOM,GG,,,,
2025-09-23,KAW2201,TAOM,GG,,,,
2025-09-24,KAW2201,TAOM,GG,,,,
2025-09-25,KAW2201,TAOM,GG,,,,
2025-09-26,KAW2201,TAOM,GG,,,,
2025-09-27,KAW2201,TAOM,GG,,,,
2025-09-28,KAW2201,TAOM,GG,,,,
2025-09-29,KAW2201,TAOM,GG,,,,
2025-09-30,KAW2201,TAOM,GG,,,,
2025-10-10,GLN0332,CTCT,GG,,,,
2025-11-10,GLN0332,CTCT,GG,,,,
2025-12-10,GLN0332,CTCT,GG,,,,
2025-10-13,GLN0332,CTCT,GG,,,,
2025-10-14,GLN0332,CTCT,GG,,,,
2025-10-15,GLN0332,CTCT,GG,,,,
2025-10-16,GLN0332,CTCT,GG,,,,
2025-10-17,GLN0332,CTCT,GG,,,,
2025-10-18,GLN0332,CTCT,GG,,,,
2025-10-19,GLN0332,CTCT,GG,,,,
2025-10-20,GLN0332,CTCT,GG,,,,
2025-10-21,GLN0332,CTCT,GG,,,,
2025-10-22,GLN0332,CTCT,GG,,,,
2025-10-23,GLN0332,CTCT,GG,,,,
2025-10-24,GLN0332,CTCT,GG,,,,
2025-10-25,GLN0332,CTCT,GG,,,,
2025-10-26,GLN0332,CTCT,GG,,,,
2025-10-27,GLN0332,CTCT,GG,,,,
2025-10-28,GLN0332,CTCT,GG,,,,
2025-10-29,GLN0332,CTCT,GG,,,,
2025-10-30,GLN0332,CTCT,GG,,,,
2025-10-31,GLN0332,CTCT,GG,,,,
2025-01-10,HTU0331,WAIP,GN,,,,
2025-02-10,HTU0331,WAIP,GN,,,,
2025-03-10,HTU0331,WAIP,GN,,,,
2025-04-10,HTU0331,WAIP,GN,,,,
2025-01-10,INV0661,TPCO,GN,,,,
2025-02-10,INV0661,TPCO,GN,,,,
2025-03-10,INV0661,TPCO,GN,,,,
2025-04-10,INV0661,TPCO,GN,,,,
2025-05-10,INV0661,TPCO,GN,,,,
2025-06-10,INV0661,TPCO,GN,,,,
2025-07-10,INV0661,TPCO,GN,,,,
2025-08-10,INV0661,TPCO,GN,,,,
2025-01-10,KAW2201,TAOM,GG,,,,
2025-02-10,KAW2201,TAOM,GG,,,,
2025-03-10,KAW2201,TAOM,GG,,,,
2025-04-10,KAW2201,TAOM,GG,,,,
2025-05-10,KAW2201,TAOM,GG,,,,
2025-06-10,KAW2201,TAOM,GG,,,,
2025-07-10,KAW2201,TAOM,GG,,,,
2025-08-10,KAW2201,TAOM,GG,,,,
2025-09-10,KAW2201,TAOM,GG,,,,
2025-10-10,KAW2201,TAOM,GG,,,,
2025-11-10,KAW2201,TAOM,GG,,,,
2025-12-10,KAW2201,TAOM,GG,,,,
2025-10-13,KAW2201,TAOM,GG,,,,
