datetime,ALIM Nº 1 CPA,ALIM Nº 2 CPA,ALIM Nº 3 CPA,ALIM Nº 8 CPA,ALIM Nº 9 CPA,ALIM Nº 10 CPA,ALIM Nº 12 CPA,ALIM Nº 14 CPA,ALIM Nº 4 CTP,ALIM Nº 5 CTP,ALIM Nº 6 CTP,ALIM Nº 7 CTP,ALIM Nº 11 CTP,ALIM Nº 13 CTP
2024-01-01 00:00:00,,,,,,,,,,,,,,
2024-01-01 00:15:00,392.0,848.0,555.0,567.0,463.0,740.0,527.5,575.0,505.03125,294.375,589.0,626.0,207.890625,302.75
2024-01-01 00:30:00,390.75,839.5,551.0,565.5,457.0,738.0,524.0,570.5,496.03125,300.75,594.5,622.0,208.6875,303.25
2024-01-01 00:45:00,387.75,826.5,540.0,555.0,461.0,721.0,520.0,563.0,499.40625,295.125,588.125,616.5,210.046875,299.5
2024-01-01 01:00:00,386.25,821.0,540.0,551.0,459.0,719.0,519.5,557.5,506.71875,294.75,584.625,616.0,214.5,300.0
2024-01-01 01:15:00,386.0,819.5,533.0,546.5,454.0,716.0,513.5,547.0,505.59375,295.875,585.25,605.5,217.40625,292.75
2024-01-01 01:30:00,387.0,811.0,532.0,541.5,449.0,699.0,506.5,542.5,492.75,294.375,550.375,601.5,215.484375,302.0
2024-01-01 01:45:00,384.25,803.0,528.0,532.5,444.0,689.0,499.5,538.0,490.59375,292.125,551.75,596.0,213.09375,287.0
2024-01-01 02:00:00,379.25,784.5,523.0,520.5,438.0,683.0,495.0,527.0,479.625,285.75,532.25,587.5,215.109375,276.25
2024-01-01 02:15:00,377.25,766.5,518.0,512.0,434.0,658.0,484.5,515.5,478.59375,285.0,495.625,579.0,209.390625,281.75
2024-01-01 02:30:00,374.25,752.0,513.0,498.0,425.0,655.0,478.0,503.5,475.78125,289.5,463.75,570.0,203.859375,275.5
2024-01-01 02:45:00,367.5,733.5,506.0,485.0,417.0,639.0,461.0,491.0,474.75,286.5,427.0,562.5,202.3125,252.0
2024-01-01 03:00:00,372.25,720.0,500.0,478.0,410.0,622.0,452.5,479.5,491.8125,284.625,367.0,549.5,204.46875,253.0
2024-01-01 03:15:00,366.5,699.0,497.0,465.5,401.0,600.0,435.5,465.0,478.5,286.125,396.375,533.0,205.078125,248.25
2024-01-01 03:30:00,365.25,679.0,484.0,452.0,393.0,586.0,424.0,451.5,467.0625,283.5,309.375,514.5,203.015625,250.5
2024-01-01 03:45:00,358.25,667.5,482.0,440.5,387.0,569.0,411.5,438.0,467.53125,284.625,248.5,509.0,192.1875,251.5
2024-01-01 04:00:00,357.0,649.5,478.0,434.0,381.0,551.0,402.0,430.0,466.6875,282.0,230.375,496.5,192.984375,249.5
2024-01-01 04:15:00,356.25,638.5,475.0,424.5,374.0,543.0,390.0,415.0,458.625,277.125,224.375,487.5,198.0,239.5
2024-01-01 04:30:00,356.25,632.0,469.0,421.0,368.0,523.0,386.0,406.0,469.03125,273.0,230.625,484.5,203.625,243.5
2024-01-01 04:45:00,358.75,612.5,468.0,411.5,363.0,521.0,377.0,396.0,467.71875,276.375,185.5,473.0,200.015625,234.25
2024-01-01 05:00:00,358.75,604.5,462.0,404.5,360.0,507.0,368.0,386.5,468.46875,274.875,150.75,494.5,195.703125,247.25
2024-01-01 05:15:00,352.5,586.5,461.0,397.0,354.0,494.0,362.5,378.5,477.5625,276.0,138.0,482.5,194.109375,247.5
2024-01-01 05:30:00,348.5,566.0,455.0,384.0,335.0,468.0,344.5,364.5,441.1875,265.875,146.625,459.5,191.90625,258.5
2024-01-01 05:45:00,336.5,544.5,442.0,360.0,311.0,442.0,328.5,341.5,422.15625,265.875,220.75,449.0,185.484375,246.0
2024-01-01 06:00:00,330.25,515.5,420.0,337.5,297.0,416.0,308.0,314.0,403.21875,261.0,223.125,428.0,179.71875,230.25
2024-01-01 06:15:00,328.25,510.0,414.0,328.0,298.0,411.0,304.5,308.0,398.34375,252.0,192.75,426.0,180.421875,222.5
2024-01-01 06:30:00,327.25,504.5,409.0,326.5,293.0,406.0,302.0,306.0,393.84375,249.75,212.25,419.0,180.0,223.25
2024-01-01 06:45:00,326.0,501.5,404.0,320.0,291.0,408.0,305.0,294.0,389.90625,255.375,259.5,411.5,176.34375,216.5
2024-01-01 07:00:00,330.25,495.5,406.0,320.0,289.0,408.0,308.0,291.5,386.90625,264.375,299.25,405.0,174.609375,228.75
2024-01-01 07:15:00,335.75,537.5,410.0,321.5,288.0,400.0,304.0,294.5,405.46875,258.75,304.625,406.0,171.75,214.5
2024-01-01 07:30:00,334.0,519.0,408.0,321.0,291.0,396.0,306.0,292.5,410.25,258.0,291.0,412.0,172.5,221.75
2024-01-01 07:45:00,331.0,521.0,410.0,320.5,290.0,400.0,303.0,290.5,390.46875,263.625,355.0,411.0,168.5625,218.25
2024-01-01 08:00:00,333.25,497.0,410.0,321.0,292.0,397.0,306.5,294.5,396.1875,266.25,370.25,402.0,168.65625,220.25
2024-01-01 08:15:00,339.25,503.5,413.0,319.5,297.0,406.0,307.0,300.5,414.65625,271.875,331.0,410.5,164.0625,214.25
2024-01-01 08:30:00,343.25,526.5,417.0,320.5,296.0,402.0,313.5,303.5,414.1875,274.875,216.875,414.5,163.453125,215.5
2024-01-01 08:45:00,341.25,521.5,417.0,323.5,299.0,406.0,316.0,307.5,402.46875,288.75,194.625,416.0,163.078125,221.75
2024-01-01 09:00:00,345.25,530.5,421.0,336.5,302.0,410.0,320.0,312.0,411.1875,280.5,226.0,421.5,167.90625,222.75
2024-01-01 09:15:00,346.75,541.5,429.0,348.5,310.0,429.0,326.0,321.0,417.84375,281.625,206.875,425.5,162.0,218.25
2024-01-01 09:30:00,355.5,545.0,430.0,348.0,318.0,438.0,335.5,325.0,428.53125,283.875,196.5,422.5,162.375,226.5
2024-01-01 09:45:00,356.5,561.0,430.0,349.5,321.0,449.0,345.0,334.5,422.34375,288.75,113.0,438.0,165.0,216.25
2024-01-01 10:00:00,358.5,582.0,444.0,356.5,322.0,457.0,359.5,349.5,426.46875,290.25,108.875,450.0,172.453125,224.75
2024-01-01 10:15:00,360.5,592.0,447.0,367.0,325.0,472.0,368.0,361.0,421.78125,289.125,146.875,457.5,173.859375,231.5
2024-01-01 10:30:00,363.25,600.5,461.0,381.5,334.0,494.0,375.0,374.0,450.46875,283.875,159.875,467.5,172.96875,222.75
2024-01-01 10:45:00,369.25,605.5,459.0,392.0,350.0,508.0,377.0,389.0,431.0625,290.25,141.625,484.5,174.328125,226.0
2024-01-01 11:00:00,368.25,630.0,467.0,405.0,351.0,520.0,391.0,401.5,442.21875,293.625,140.875,497.5,173.109375,224.0
2024-01-01 11:15:00,372.5,652.5,472.0,421.0,362.0,544.0,391.5,414.5,436.5,297.75,130.0,512.0,180.0,228.5
2024-01-01 11:30:00,371.75,660.0,477.0,436.0,365.0,550.0,402.5,426.0,438.75,296.625,127.125,524.0,181.6875,235.75
2024-01-01 11:45:00,366.5,675.0,481.0,437.5,360.0,575.0,408.5,436.5,436.03125,305.25,146.25,532.0,181.078125,236.75
2024-01-01 12:00:00,372.75,689.5,484.0,441.5,371.0,588.0,424.5,445.5,459.09375,301.125,156.75,536.5,181.078125,237.75
2024-01-01 12:15:00,381.0,699.5,490.0,453.0,380.0,604.0,429.5,463.0,457.5,299.25,153.0,547.0,181.59375,233.5
2024-01-01 12:30:00,382.25,724.0,491.0,462.5,386.0,613.0,429.5,468.0,462.1875,298.5,147.625,559.5,186.0,238.75
2024-01-01 12:45:00,377.5,740.0,499.0,466.0,394.0,613.0,446.0,475.0,455.4375,301.5,48.125,566.5,184.6875,240.5
2024-01-01 13:00:00,381.0,736.5,502.0,479.0,399.0,622.0,443.0,479.0,452.71875,297.375,4.875,569.5,190.546875,242.0
2024-01-01 13:15:00,381.25,728.5,504.0,481.0,398.0,623.0,453.5,486.0,433.3125,301.5,-17.875,582.0,196.5,250.5
2024-01-01 13:30:00,385.5,736.5,507.0,478.0,404.0,629.0,458.0,489.5,451.59375,306.0,-12.75,585.0,197.625,261.25
2024-01-01 13:45:00,386.25,745.0,506.0,473.5,402.0,644.0,455.5,490.5,467.15625,305.625,-11.25,590.5,196.21875,247.75
2024-01-01 14:00:00,384.75,730.5,507.0,481.5,409.0,640.0,456.0,489.0,463.125,309.375,-6.125,576.0,199.875,247.0
2024-01-01 14:15:00,384.0,744.0,500.0,485.0,405.0,650.0,457.0,484.5,454.5,304.5,-8.25,594.0,192.515625,249.5
2024-01-01 14:30:00,384.5,734.5,498.0,484.5,403.0,624.0,455.0,490.5,476.53125,300.375,12.375,595.0,196.546875,249.0
2024-01-01 14:45:00,382.75,732.5,498.0,488.0,402.0,636.0,455.0,483.0,457.03125,302.625,80.0,579.0,196.875,242.0
2024-01-01 15:00:00,386.75,744.5,495.0,489.0,402.0,624.0,454.0,483.0,464.15625,306.375,213.5,569.5,199.3125,237.25
2024-01-01 15:15:00,384.0,727.0,498.0,488.5,400.0,624.0,446.0,477.5,465.375,305.625,182.25,573.0,194.71875,244.25
2024-01-01 15:30:00,381.75,729.0,489.0,483.5,394.0,613.0,439.5,475.0,462.9375,303.75,143.875,568.5,187.828125,252.0
2024-01-01 15:45:00,382.25,725.5,492.0,477.5,387.0,604.0,439.0,473.5,455.90625,301.875,132.25,565.0,182.4375,243.75
