datetime,ALIM Nº 1 CPA,ALIM Nº 2 CPA,ALIM Nº 3 CPA,ALIM Nº 8 CPA,ALIM Nº 9 CPA,ALIM Nº 10 CPA,ALIM Nº 12 CPA,ALIM Nº 14 CPA,ALIM Nº 4 CTP,ALIM Nº 5 CTP,ALIM Nº 6 CTP,ALIM Nº 7 CTP,ALIM Nº 11 CTP,ALIM Nº 13 CTP,Total
2024-01-01 00:00:00,1170.5,2514.0,1646.0,1687.5,1381.0,2199.0,1571.5,1708.5,1500.46875,890.25,1771.625,1864.5,626.625,905.5,21436.96875
2024-01-01 01:00:00,1543.5,3254.5,2133.0,2171.5,1806.0,2823.0,2039.0,2185.0,1995.65625,1177.125,2272.0,2419.0,860.484375,1181.75,27861.515625
2024-01-01 02:00:00,1498.25,3036.5,2060.0,2015.5,1714.0,2635.0,1918.5,2037.0,1908.75,1146.75,1918.625,2299.0,830.671875,1085.5,26104.046875
2024-01-01 03:00:00,1462.25,2765.5,1963.0,1836.0,1591.0,2377.0,1723.5,1834.0,1904.90625,1138.875,1321.25,2106.0,804.75,1003.25,23831.28125
2024-01-01 04:00:00,1428.25,2532.5,1890.0,1691.0,1486.0,2138.0,1555.0,1647.0,1862.0625,1108.5,870.875,1941.5,794.625,966.75,21912.0625
2024-01-01 05:00:00,1396.25,2301.5,1820.0,1545.5,1360.0,1911.0,1403.5,1471.0,1809.375,1082.625,656.125,1885.5,767.203125,999.25,20408.828125
2024-01-01 06:00:00,1311.75,2031.5,1647.0,1312.0,1179.0,1641.0,1219.5,1222.0,1585.3125,1018.125,887.625,1684.5,716.484375,892.5,18348.296875
2024-01-01 07:00:00,1331.0,2073.0,1634.0,1283.0,1158.0,1604.0,1221.0,1169.0,1593.09375,1044.75,1249.875,1634.0,687.421875,883.25,18565.390625
2024-01-01 08:00:00,1357.0,2048.5,1657.0,1284.5,1184.0,1611.0,1243.0,1206.0,1627.5,1101.75,1112.75,1643.0,659.25,871.75,18607.0
2024-01-01 09:00:00,1404.0,2178.0,1710.0,1382.5,1251.0,1726.0,1326.5,1292.5,1679.90625,1134.75,742.375,1707.5,657.28125,883.75,19076.0625
2024-01-01 10:00:00,1451.5,2380.0,1811.0,1497.0,1331.0,1931.0,1479.5,1473.5,1729.78125,1153.5,557.25,1859.5,693.609375,905.0,20253.140625
2024-01-01 11:00:00,1479.0,2617.5,1897.0,1699.5,1438.0,2189.0,1593.5,1678.5,1753.5,1193.25,544.25,2065.5,715.875,925.0,21789.375
2024-01-01 12:00:00,1513.5,2853.0,1964.0,1823.0,1531.0,2418.0,1729.5,1851.5,1834.21875,1200.375,505.5,2209.5,733.359375,950.5,23116.953125
