scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type,source
BAU_base,2025,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
BAU_base,2030,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
BAU_base,2040,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
BAU_base,2050,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RT_base,2025,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RT_base,2030,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RT_base,2040,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RT_base,2050,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RE_base,2025,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RE_base,2030,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RE_base,2040,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RE_base,2050,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RH_base,2025,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RH_base,2030,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RH_base,2040,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
RH_base,2050,san_juan_bautista,base_load,TRUE,1.0,1874.256,,,base_load,electricity,EEL Juan Fernandez 2026 Figure 16; sum of 2025 sectors
