timestamp,zone,scenario,year,component,demand_type,demand_mw
2025-01-01 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21483797
2025-01-01 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21729347
2025-01-01 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21625069
2025-01-01 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21848609
2025-01-01 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21250959
2025-01-01 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20920658
2025-01-01 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20640346
2025-01-01 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20024467
2025-01-01 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1925652
2025-01-01 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18338635
2025-01-01 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17744179
2025-01-01 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17353291
2025-01-01 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17285071
2025-01-01 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17306466
2025-01-01 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17066322
2025-01-01 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17240506
2025-01-01 16:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18126353
2025-01-01 17:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17820143
2025-01-01 18:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19007688
2025-01-01 19:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19854331
2025-01-01 20:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19898086
2025-01-01 21:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20403369
2025-01-01 22:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21032242
2025-01-01 23:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.22014232
2025-01-02 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21900181
2025-01-02 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.2121362
2025-01-02 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21771285
2025-01-02 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.22161777
2025-01-02 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21766047
2025-01-02 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21119879
2025-01-02 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20190999
2025-01-02 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18950436
2025-01-02 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19130018
2025-01-02 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18430788
2025-01-02 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18034528
2025-01-02 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18175502
2025-01-02 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17459659
2025-01-02 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17410993
2025-01-02 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17606275
2025-01-02 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1754116
2025-01-02 16:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1776761
2025-01-02 17:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18223118
2025-01-02 18:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19357806
2025-01-02 19:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1987503
2025-01-02 20:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20088957
2025-01-02 21:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21337899
2025-01-02 22:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21424773
2025-01-02 23:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21139087
2025-01-03 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.22212452
2025-01-03 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21965481
2025-01-03 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21363262
2025-01-03 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21934577
2025-01-03 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21188555
2025-01-03 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20683333
2025-01-03 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20516957
2025-01-03 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18804509
2025-01-03 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18569275
2025-01-03 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18329926
2025-01-03 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18087799
2025-01-03 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17388633
2025-01-03 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17040685
2025-01-03 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1694259
2025-01-03 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17346501
2025-01-03 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17860975
2025-01-03 16:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17476164
2025-01-03 17:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17717693
2025-01-03 18:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18942745
2025-01-03 19:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19516639
2025-01-03 20:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19909081
2025-01-03 21:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21101975
2025-01-03 22:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21679041
2025-01-03 23:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21465776
2025-01-04 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20478284
2025-01-04 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.2093184
2025-01-04 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20443328
2025-01-04 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19826367
2025-01-04 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20019338
2025-01-04 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19232958
2025-01-04 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19176334
2025-01-04 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1829178
2025-01-04 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17836834
2025-01-04 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1755021
2025-01-04 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16868311
2025-01-04 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16348175
2025-01-04 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16007775
2025-01-04 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16820788
2025-01-04 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16698181
2025-01-04 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16060184
2025-01-04 16:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16554582
2025-01-04 17:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17572652
2025-01-04 18:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17693879
2025-01-04 19:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.18484081
2025-01-04 20:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19362564
2025-01-04 21:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19637638
2025-01-04 22:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19994621
2025-01-04 23:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.202056
2025-01-05 00:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20575985
2025-01-05 01:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20847124
2025-01-05 02:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.21326738
2025-01-05 03:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.20824496
2025-01-05 04:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19958014
2025-01-05 05:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19937803
2025-01-05 06:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.19088942
2025-01-05 07:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17923415
2025-01-05 08:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17858815
2025-01-05 09:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17707821
2025-01-05 10:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16701759
2025-01-05 11:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16860964
2025-01-05 12:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.16229542
2025-01-05 13:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.1626279
2025-01-05 14:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.15940681
2025-01-05 15:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17236406
2025-01-05 16:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17056662
2025-01-05 17:00:00,san_juan_bautista,RH_base,2025,base_load,electricity,0.17712593
