scenario,year,zone,component,demand_type,annual_energy_mwh,mean_mw,max_mw,min_mw
BAU_base,2025,porvenir,base_load,electricity,32881.0,3.753538812785388,4.94105005,2.70954036
BAU_base,2025,puerto_natales,base_load,electricity,59943.0,6.842808219178083,8.96376039,4.97376634
BAU_base,2025,puerto_williams,base_load,electricity,6367.0,0.7268264840182649,0.94726326,0.53541842
BAU_base,2025,punta_arenas_centro,base_load,electricity,334665.0,38.20376712328767,51.00471188,27.94666514
RE_base,2025,porvenir,base_load,electricity,32881.0,3.753538812785388,4.94105005,2.70954036
RE_base,2025,puerto_natales,base_load,electricity,59943.0,6.842808219178083,8.96376039,4.97376634
RE_base,2025,puerto_williams,base_load,electricity,6367.0,0.7268264840182649,0.94726326,0.53541842
RE_base,2025,punta_arenas_centro,base_load,electricity,334665.0,38.20376712328767,51.00471188,27.94666514
RH_base,2025,porvenir,base_load,electricity,32881.0,3.753538812785388,4.94105005,2.70954036
RH_base,2025,puerto_natales,base_load,electricity,59943.0,6.842808219178083,8.96376039,4.97376634
RH_base,2025,puerto_williams,base_load,electricity,6367.0,0.7268264840182649,0.94726326,0.53541842
RH_base,2025,punta_arenas_centro,base_load,electricity,334665.0,38.20376712328767,51.00471188,27.94666514
RT_base,2025,porvenir,base_load,electricity,32881.0,3.753538812785388,4.94105005,2.70954036
RT_base,2025,puerto_natales,base_load,electricity,59943.0,6.842808219178083,8.96376039,4.97376634
RT_base,2025,puerto_williams,base_load,electricity,6367.0,0.7268264840182649,0.94726326,0.53541842
RT_base,2025,punta_arenas_centro,base_load,electricity,334665.0,38.20376712328767,51.00471188,27.94666514
BAU_base,2030,porvenir,base_load,electricity,39672.011573,4.528768444406393,5.96153993997665,3.2691498591718804
BAU_base,2030,puerto_natales,base_load,electricity,74036.018901,8.451600331164384,11.071203204011729,6.14313362289838
BAU_base,2030,puerto_williams,base_load,electricity,7369.000257999999,0.8412100751141551,1.09633786827924,0.6196793584290798
BAU_base,2030,punta_arenas_centro,base_load,electricity,369551.14892999997,42.18620421575342,56.32154505579496,30.85988140752388
RE_base,2030,porvenir,base_load,electricity,39672.011573,4.528768444406393,5.96153993997665,3.2691498591718804
RE_base,2030,puerto_natales,base_load,electricity,74036.018901,8.451600331164384,11.071203204011729,6.14313362289838
RE_base,2030,puerto_williams,base_load,electricity,7369.000257999999,0.8412100751141551,1.09633786827924,0.6196793584290798
RE_base,2030,punta_arenas_centro,base_load,electricity,369551.14892999997,42.18620421575342,56.32154505579496,30.85988140752388
RH_base,2030,porvenir,base_load,electricity,39672.011573,4.528768444406393,5.96153993997665,3.2691498591718804
RH_base,2030,puerto_natales,base_load,electricity,74036.018901,8.451600331164384,11.071203204011729,6.14313362289838
RH_base,2030,puerto_williams,base_load,electricity,7369.000257999999,0.8412100751141551,1.09633786827924,0.6196793584290798
RH_base,2030,punta_arenas_centro,base_load,electricity,369551.14892999997,42.18620421575342,56.32154505579496,30.85988140752388
RT_base,2030,porvenir,base_load,electricity,39672.011573,4.528768444406393,5.96153993997665,3.2691498591718804
RT_base,2030,puerto_natales,base_load,electricity,74036.018901,8.451600331164384,11.071203204011729,6.14313362289838
RT_base,2030,puerto_williams,base_load,electricity,7369.000257999999,0.8412100751141551,1.09633786827924,0.6196793584290798
RT_base,2030,punta_arenas_centro,base_load,electricity,369551.14892999997,42.18620421575342,56.32154505579496,30.85988140752388
BAU_base,2040,porvenir,base_load,electricity,55454.32480897067,6.313106194099575,8.311770160459352,4.557953569567321
BAU_base,2040,puerto_natales,base_load,electricity,106078.83294688632,12.076369871002541,15.822175485919528,8.779329258425179
BAU_base,2040,puerto_williams,base_load,electricity,9875.313146588234,1.1242387461962926,1.4654532064871402,0.8283131770583799
BAU_base,2040,punta_arenas_centro,base_load,electricity,443471.9739047267,50.48633582704083,67.41251965410096,36.936883742216885
RE_base,2040,porvenir,base_load,electricity,55454.32480897067,6.313106194099575,8.311770160459352,4.557953569567321
RE_base,2040,puerto_natales,base_load,electricity,106078.83294688632,12.076369871002541,15.822175485919528,8.779329258425179
RE_base,2040,puerto_williams,base_load,electricity,9875.313146588234,1.1242387461962926,1.4654532064871402,0.8283131770583799
RE_base,2040,punta_arenas_centro,base_load,electricity,443471.9739047267,50.48633582704083,67.41251965410096,36.936883742216885
RH_base,2040,porvenir,base_load,electricity,55454.32480897067,6.313106194099575,8.311770160459352,4.557953569567321
RH_base,2040,puerto_natales,base_load,electricity,106078.83294688632,12.076369871002541,15.822175485919528,8.779329258425179
RH_base,2040,puerto_williams,base_load,electricity,9875.313146588234,1.1242387461962926,1.4654532064871402,0.8283131770583799
RH_base,2040,punta_arenas_centro,base_load,electricity,443471.9739047267,50.48633582704083,67.41251965410096,36.936883742216885
RT_base,2040,porvenir,base_load,electricity,55454.32480897067,6.313106194099575,8.311770160459352,4.557953569567321
RT_base,2040,puerto_natales,base_load,electricity,106078.83294688632,12.076369871002541,15.822175485919528,8.779329258425179
RT_base,2040,puerto_williams,base_load,electricity,9875.313146588234,1.1242387461962926,1.4654532064871402,0.8283131770583799
RT_base,2040,punta_arenas_centro,base_load,electricity,443471.9739047267,50.48633582704083,67.41251965410096,36.936883742216885
BAU_base,2050,porvenir,base_load,electricity,76663.005049,8.751484594634704,11.520201482026451,6.31737192601044
BAU_base,2050,puerto_natales,base_load,electricity,149838.977613,17.104906120205477,22.406631173039486,12.43287895620094
BAU_base,2050,puerto_williams,base_load,electricity,13161.002854999999,1.5023975861872145,1.9580547305319,1.1067446763373
BAU_base,2050,punta_arenas_centro,base_load,electricity,528679.00179,60.35148422260274,80.57346947934488,44.14807353495164
RE_base,2050,porvenir,base_load,electricity,76663.005049,8.751484594634704,11.520201482026451,6.31737192601044
RE_base,2050,puerto_natales,base_load,electricity,149838.977613,17.104906120205477,22.406631173039486,12.43287895620094
RE_base,2050,puerto_williams,base_load,electricity,13161.002854999999,1.5023975861872145,1.9580547305319,1.1067446763373
