asset_id,asset_type,zone,technology,installed_capacity_mw,installed_energy_mwh,p_nom_max_mw,e_nom_max_mwh,capital_cost,marginal_cost,efficiency,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source
h2_electrolyzer_cabo_negro,electrolyzer,cabo_negro,electrolyzer,0,,1000,,90000,0,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS
h2_surface_tank_cabo_negro,h2_store_tank,cabo_negro,hydrogen_storage,,0,,10000,2500,0,,0.0005,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS
h2_fuel_cell_cabo_negro,h2_fuel_cell,cabo_negro,h2_fuel_cell,0,,1000,,100000,0,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS
h2_electrolyzer_puerto_natales,electrolyzer,puerto_natales,electrolyzer,0,,100,,90000,0,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS
h2_surface_tank_puerto_natales,h2_store_tank,puerto_natales,hydrogen_storage,,0,,3000,2500,0,,0.0005,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS
h2_fuel_cell_puerto_natales,h2_fuel_cell,puerto_natales,h2_fuel_cell,0,,100,,100000,0,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS
h2_electrolyzer_porvenir,electrolyzer,porvenir,electrolyzer,0,,60,,90000,0,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS
h2_surface_tank_porvenir,h2_store_tank,porvenir,hydrogen_storage,,0,,1800,2500,0,,0.0005,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS
h2_fuel_cell_porvenir,h2_fuel_cell,porvenir,h2_fuel_cell,0,,60,,100000,0,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS
h2_electrolyzer_puerto_williams,electrolyzer,puerto_williams,electrolyzer,0,,15,,90000,0,0.7,,2030,2030,,flexible,TRUE,1,Surface-H2 planning assumption; no PtX and no UHS
h2_surface_tank_puerto_williams,h2_store_tank,puerto_williams,hydrogen_storage,,0,,450,2500,0,,0.0005,2030,2030,,flexible,TRUE,1,Above-ground H2 tank only; no UHS
h2_fuel_cell_puerto_williams,h2_fuel_cell,puerto_williams,h2_fuel_cell,0,,15,,100000,0,0.55,,2030,2030,,flexible,TRUE,1,Surface-H2 reconversion planning assumption; no UHS
