scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type
reference,2025,northland,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,auckland,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,waikato,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,bay_of_plenty,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,taranaki,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,hawkes_bay,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,manawatu_whanganui,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,wellington,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,nelson,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,marlborough,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,west_coast,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,canterbury,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,otago,base_load,True,1.000000,,,,base_2025,electricity
reference,2025,southland,base_load,True,1.000000,,,,base_2025,electricity
reference,2030,northland,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,auckland,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,waikato,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,bay_of_plenty,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,taranaki,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,hawkes_bay,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,manawatu_whanganui,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,wellington,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,nelson,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,marlborough,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,west_coast,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,canterbury,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,otago,base_load,True,1.104081,,,,base_2025,electricity
reference,2030,southland,base_load,True,1.104081,,,,base_2025,electricity
reference,2040,northland,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,auckland,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,waikato,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,bay_of_plenty,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,taranaki,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,hawkes_bay,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,manawatu_whanganui,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,wellington,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,nelson,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,marlborough,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,west_coast,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,canterbury,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,otago,base_load,True,1.345868,,,,base_2025,electricity
reference,2040,southland,base_load,True,1.345868,,,,base_2025,electricity
reference,2050,northland,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,auckland,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,waikato,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,bay_of_plenty,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,taranaki,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,hawkes_bay,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,manawatu_whanganui,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,wellington,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,nelson,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,marlborough,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,west_coast,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,canterbury,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,otago,base_load,True,1.640606,,,,base_2025,electricity
reference,2050,southland,base_load,True,1.640606,,,,base_2025,electricity
