timestamp,zone,demand_type,demand_mw
2025-01-01 00:00:00,northland,electricity,68.327000
2025-01-01 01:00:00,northland,electricity,65.394000
2025-01-01 02:00:00,northland,electricity,61.886000
2025-01-01 03:00:00,northland,electricity,60.639000
2025-01-01 04:00:00,northland,electricity,60.929000
2025-01-01 05:00:00,northland,electricity,66.843000
2025-01-01 06:00:00,northland,electricity,73.692000
2025-01-01 07:00:00,northland,electricity,79.777000
2025-01-01 08:00:00,northland,electricity,82.199000
2025-01-01 09:00:00,northland,electricity,84.564000
2025-01-01 10:00:00,northland,electricity,86.294000
2025-01-01 11:00:00,northland,electricity,84.647000
2025-01-01 12:00:00,northland,electricity,81.153000
2025-01-01 13:00:00,northland,electricity,77.500000
2025-01-01 14:00:00,northland,electricity,76.532000
2025-01-01 15:00:00,northland,electricity,78.143000
2025-01-01 16:00:00,northland,electricity,81.400000
2025-01-01 17:00:00,northland,electricity,87.401000
2025-01-01 18:00:00,northland,electricity,94.587000
2025-01-01 19:00:00,northland,electricity,93.488000
2025-01-01 20:00:00,northland,electricity,91.822000
2025-01-01 21:00:00,northland,electricity,91.385000
2025-01-01 22:00:00,northland,electricity,81.044000
2025-01-01 23:00:00,northland,electricity,74.978000
2025-01-02 00:00:00,northland,electricity,69.053000
2025-01-02 01:00:00,northland,electricity,68.128000
2025-01-02 02:00:00,northland,electricity,67.195000
2025-01-02 03:00:00,northland,electricity,65.134000
2025-01-02 04:00:00,northland,electricity,65.414000
2025-01-02 05:00:00,northland,electricity,69.582000
2025-01-02 06:00:00,northland,electricity,77.565000
2025-01-02 07:00:00,northland,electricity,84.161000
2025-01-02 08:00:00,northland,electricity,89.703000
2025-01-02 09:00:00,northland,electricity,91.546000
2025-01-02 10:00:00,northland,electricity,89.870000
2025-01-02 11:00:00,northland,electricity,88.685000
2025-01-02 12:00:00,northland,electricity,87.442000
2025-01-02 13:00:00,northland,electricity,84.940000
2025-01-02 14:00:00,northland,electricity,85.728000
2025-01-02 15:00:00,northland,electricity,87.443000
2025-01-02 16:00:00,northland,electricity,89.749000
2025-01-02 17:00:00,northland,electricity,92.806000
2025-01-02 18:00:00,northland,electricity,96.132000
2025-01-02 19:00:00,northland,electricity,96.250000
2025-01-02 20:00:00,northland,electricity,94.517000
2025-01-02 21:00:00,northland,electricity,94.117000
2025-01-02 22:00:00,northland,electricity,85.806000
2025-01-02 23:00:00,northland,electricity,78.020000
2025-01-03 00:00:00,northland,electricity,71.339000
2025-01-03 01:00:00,northland,electricity,68.016000
2025-01-03 02:00:00,northland,electricity,66.363000
2025-01-03 03:00:00,northland,electricity,64.777000
2025-01-03 04:00:00,northland,electricity,64.824000
2025-01-03 05:00:00,northland,electricity,68.725000
2025-01-03 06:00:00,northland,electricity,75.887000
2025-01-03 07:00:00,northland,electricity,85.217000
2025-01-03 08:00:00,northland,electricity,90.756000
2025-01-03 09:00:00,northland,electricity,93.591000
2025-01-03 10:00:00,northland,electricity,93.161000
2025-01-03 11:00:00,northland,electricity,91.147000
2025-01-03 12:00:00,northland,electricity,90.476000
2025-01-03 13:00:00,northland,electricity,86.403000
2025-01-03 14:00:00,northland,electricity,85.953000
2025-01-03 15:00:00,northland,electricity,85.300000
2025-01-03 16:00:00,northland,electricity,92.108000
2025-01-03 17:00:00,northland,electricity,97.475000
2025-01-03 18:00:00,northland,electricity,99.270000
2025-01-03 19:00:00,northland,electricity,98.280000
2025-01-03 20:00:00,northland,electricity,94.534000
2025-01-03 21:00:00,northland,electricity,90.302000
2025-01-03 22:00:00,northland,electricity,82.153000
2025-01-03 23:00:00,northland,electricity,75.882000
2025-01-04 00:00:00,northland,electricity,54.764000
2025-01-04 01:00:00,northland,electricity,57.756000
2025-01-04 02:00:00,northland,electricity,58.665000
2025-01-04 03:00:00,northland,electricity,57.008000
2025-01-04 04:00:00,northland,electricity,54.652000
2025-01-04 05:00:00,northland,electricity,62.931000
2025-01-04 06:00:00,northland,electricity,80.887000
2025-01-04 07:00:00,northland,electricity,98.287000
2025-01-04 08:00:00,northland,electricity,94.917000
2025-01-04 09:00:00,northland,electricity,85.209000
2025-01-04 10:00:00,northland,electricity,81.242000
2025-01-04 11:00:00,northland,electricity,87.111000
2025-01-04 12:00:00,northland,electricity,85.229000
2025-01-04 13:00:00,northland,electricity,83.782000
2025-01-04 14:00:00,northland,electricity,85.003000
2025-01-04 15:00:00,northland,electricity,90.009000
2025-01-04 16:00:00,northland,electricity,93.046000
2025-01-04 17:00:00,northland,electricity,96.737000
2025-01-04 18:00:00,northland,electricity,99.981000
2025-01-04 19:00:00,northland,electricity,100.072000
2025-01-04 20:00:00,northland,electricity,95.616000
2025-01-04 21:00:00,northland,electricity,93.079000
2025-01-04 22:00:00,northland,electricity,82.942000
2025-01-04 23:00:00,northland,electricity,76.302000
2025-01-05 00:00:00,northland,electricity,84.887000
2025-01-05 01:00:00,northland,electricity,79.009000
2025-01-05 02:00:00,northland,electricity,79.363000
2025-01-05 03:00:00,northland,electricity,63.636000
2025-01-05 04:00:00,northland,electricity,64.599000
2025-01-05 05:00:00,northland,electricity,71.797000
2025-01-05 06:00:00,northland,electricity,87.418000
2025-01-05 07:00:00,northland,electricity,103.480000
2025-01-05 08:00:00,northland,electricity,99.797000
2025-01-05 09:00:00,northland,electricity,93.336000
2025-01-05 10:00:00,northland,electricity,84.242000
2025-01-05 11:00:00,northland,electricity,80.790000
2025-01-05 12:00:00,northland,electricity,79.077000
2025-01-05 13:00:00,northland,electricity,75.025000
2025-01-05 14:00:00,northland,electricity,81.395000
2025-01-05 15:00:00,northland,electricity,85.389000
2025-01-05 16:00:00,northland,electricity,89.932000
2025-01-05 17:00:00,northland,electricity,99.200000
2025-01-05 18:00:00,northland,electricity,107.936000
2025-01-05 19:00:00,northland,electricity,98.723000
2025-01-05 20:00:00,northland,electricity,91.438000
2025-01-05 21:00:00,northland,electricity,85.844000
2025-01-05 22:00:00,northland,electricity,73.746000
2025-01-05 23:00:00,northland,electricity,69.643000
2025-01-06 00:00:00,northland,electricity,68.117000
2025-01-06 01:00:00,northland,electricity,64.498000
2025-01-06 02:00:00,northland,electricity,63.331000
2025-01-06 03:00:00,northland,electricity,62.058000
2025-01-06 04:00:00,northland,electricity,63.736000
2025-01-06 05:00:00,northland,electricity,67.401000
2025-01-06 06:00:00,northland,electricity,74.429000
2025-01-06 07:00:00,northland,electricity,84.937000
2025-01-06 08:00:00,northland,electricity,93.832000
2025-01-06 09:00:00,northland,electricity,94.549000
2025-01-06 10:00:00,northland,electricity,82.129000
2025-01-06 11:00:00,northland,electricity,76.192000
2025-01-06 12:00:00,northland,electricity,73.206000
2025-01-06 13:00:00,northland,electricity,72.141000
2025-01-06 14:00:00,northland,electricity,73.338000
2025-01-06 15:00:00,northland,electricity,80.959000
2025-01-06 16:00:00,northland,electricity,93.445000
2025-01-06 17:00:00,northland,electricity,108.931000
2025-01-06 18:00:00,northland,electricity,111.985000
2025-01-06 19:00:00,northland,electricity,105.799000
2025-01-06 20:00:00,northland,electricity,101.583000
2025-01-06 21:00:00,northland,electricity,95.302000
2025-01-06 22:00:00,northland,electricity,85.078000
2025-01-06 23:00:00,northland,electricity,76.520000
2025-01-07 00:00:00,northland,electricity,72.955000
2025-01-07 01:00:00,northland,electricity,67.889000
2025-01-07 02:00:00,northland,electricity,66.476000
2025-01-07 03:00:00,northland,electricity,66.517000
2025-01-07 04:00:00,northland,electricity,68.189000
2025-01-07 05:00:00,northland,electricity,77.606000
2025-01-07 06:00:00,northland,electricity,98.296000
2025-01-07 07:00:00,northland,electricity,123.020000
2025-01-07 08:00:00,northland,electricity,123.691000
2025-01-07 09:00:00,northland,electricity,108.389000
2025-01-07 10:00:00,northland,electricity,98.630000
2025-01-07 11:00:00,northland,electricity,93.181000
2025-01-07 12:00:00,northland,electricity,90.977000
2025-01-07 13:00:00,northland,electricity,86.109000
2025-01-07 14:00:00,northland,electricity,89.095000
2025-01-07 15:00:00,northland,electricity,92.088000
2025-01-07 16:00:00,northland,electricity,102.893000
2025-01-07 17:00:00,northland,electricity,129.555000
2025-01-07 18:00:00,northland,electricity,140.194000
2025-01-07 19:00:00,northland,electricity,129.292000
2025-01-07 20:00:00,northland,electricity,115.328000
2025-01-07 21:00:00,northland,electricity,103.721000
2025-01-07 22:00:00,northland,electricity,90.106000
2025-01-07 23:00:00,northland,electricity,80.534000
2025-01-08 00:00:00,northland,electricity,85.308000
2025-01-08 01:00:00,northland,electricity,80.633000
2025-01-08 02:00:00,northland,electricity,86.346000
2025-01-08 03:00:00,northland,electricity,87.166000
2025-01-08 04:00:00,northland,electricity,89.580000
2025-01-08 05:00:00,northland,electricity,93.954000
2025-01-08 06:00:00,northland,electricity,124.215000
2025-01-08 07:00:00,northland,electricity,155.878000
2025-01-08 08:00:00,northland,electricity,139.442000
2025-01-08 09:00:00,northland,electricity,117.778000
2025-01-08 10:00:00,northland,electricity,111.864000
2025-01-08 11:00:00,northland,electricity,100.542000
2025-01-08 12:00:00,northland,electricity,92.628000
2025-01-08 13:00:00,northland,electricity,93.835000
2025-01-08 14:00:00,northland,electricity,92.644000
2025-01-08 15:00:00,northland,electricity,91.434000
2025-01-08 16:00:00,northland,electricity,115.763000
2025-01-08 17:00:00,northland,electricity,151.264000
2025-01-08 18:00:00,northland,electricity,165.921000
2025-01-08 19:00:00,northland,electricity,161.121000
2025-01-08 20:00:00,northland,electricity,153.072000
2025-01-08 21:00:00,northland,electricity,144.020000
2025-01-08 22:00:00,northland,electricity,126.989000
2025-01-08 23:00:00,northland,electricity,108.503000
2025-01-09 00:00:00,northland,electricity,73.184000
2025-01-09 01:00:00,northland,electricity,70.048000
2025-01-09 02:00:00,northland,electricity,71.713000
2025-01-09 03:00:00,northland,electricity,71.115000
2025-01-09 04:00:00,northland,electricity,72.872000
2025-01-09 05:00:00,northland,electricity,84.296000
2025-01-09 06:00:00,northland,electricity,105.326000
2025-01-09 07:00:00,northland,electricity,121.137000
2025-01-09 08:00:00,northland,electricity,119.331000
2025-01-09 09:00:00,northland,electricity,108.328000
2025-01-09 10:00:00,northland,electricity,107.783000
2025-01-09 11:00:00,northland,electricity,101.118000
2025-01-09 12:00:00,northland,electricity,98.233000
2025-01-09 13:00:00,northland,electricity,90.360000
2025-01-09 14:00:00,northland,electricity,84.883000
2025-01-09 15:00:00,northland,electricity,86.551000
2025-01-09 16:00:00,northland,electricity,96.499000
2025-01-09 17:00:00,northland,electricity,116.998000
2025-01-09 18:00:00,northland,electricity,131.273000
2025-01-09 19:00:00,northland,electricity,128.418000
2025-01-09 20:00:00,northland,electricity,122.041000
2025-01-09 21:00:00,northland,electricity,109.344000
2025-01-09 22:00:00,northland,electricity,96.321000
2025-01-09 23:00:00,northland,electricity,83.144000
2025-01-10 00:00:00,northland,electricity,65.760000
2025-01-10 01:00:00,northland,electricity,61.608000
2025-01-10 02:00:00,northland,electricity,59.923000
2025-01-10 03:00:00,northland,electricity,59.164000
2025-01-10 04:00:00,northland,electricity,61.366000
2025-01-10 05:00:00,northland,electricity,70.885000
2025-01-10 06:00:00,northland,electricity,106.699000
2025-01-10 07:00:00,northland,electricity,127.853000
2025-01-10 08:00:00,northland,electricity,117.073000
2025-01-10 09:00:00,northland,electricity,105.971000
2025-01-10 10:00:00,northland,electricity,90.989000
2025-01-10 11:00:00,northland,electricity,83.483000
2025-01-10 12:00:00,northland,electricity,77.670000
2025-01-10 13:00:00,northland,electricity,75.854000
2025-01-10 14:00:00,northland,electricity,72.847000
2025-01-10 15:00:00,northland,electricity,76.172000
2025-01-10 16:00:00,northland,electricity,74.491000
2025-01-10 17:00:00,northland,electricity,82.499000
2025-01-10 18:00:00,northland,electricity,110.650000
2025-01-10 19:00:00,northland,electricity,123.983000
2025-01-10 20:00:00,northland,electricity,121.162000
2025-01-10 21:00:00,northland,electricity,111.785000
2025-01-10 22:00:00,northland,electricity,95.212000
2025-01-10 23:00:00,northland,electricity,81.962000
2025-01-11 00:00:00,northland,electricity,70.964000
2025-01-11 01:00:00,northland,electricity,66.994000
2025-01-11 02:00:00,northland,electricity,65.036000
2025-01-11 03:00:00,northland,electricity,63.740000
2025-01-11 04:00:00,northland,electricity,64.159000
2025-01-11 05:00:00,northland,electricity,70.144000
2025-01-11 06:00:00,northland,electricity,80.649000
2025-01-11 07:00:00,northland,electricity,84.230000
2025-01-11 08:00:00,northland,electricity,81.903000
2025-01-11 09:00:00,northland,electricity,80.894000
2025-01-11 10:00:00,northland,electricity,75.541000
2025-01-11 11:00:00,northland,electricity,71.027000
2025-01-11 12:00:00,northland,electricity,68.051000
2025-01-11 13:00:00,northland,electricity,82.810000
2025-01-11 14:00:00,northland,electricity,82.630000
2025-01-11 15:00:00,northland,electricity,88.045000
2025-01-11 16:00:00,northland,electricity,92.734000
2025-01-11 17:00:00,northland,electricity,88.739000
