scenario,year,zone,component,demand_type,annual_energy_mwh,mean_mw,max_mw,min_mw
reference,2025,auckland,base_load,electricity,10184141.079,1162.5731825342466,1984.209,646.092
reference,2025,bay_of_plenty,base_load,electricity,1906330.713,217.61766130136985,379.077,113.514
reference,2025,canterbury,base_load,electricity,5585437.734,637.607047260274,942.945,352.811
reference,2025,hawkes_bay,base_load,electricity,1836313.094,209.62478242009132,343.716,17.94
reference,2025,manawatu_whanganui,base_load,electricity,1053359.561,120.2465252283105,240.317,38.102
reference,2025,marlborough,base_load,electricity,385009.028,43.95080228310502,74.463,0.0
reference,2025,nelson,base_load,electricity,677300.813,77.3174444063927,138.116,0.0
reference,2025,northland,base_load,electricity,794122.033,90.65320011415525,187.41,48.817
reference,2025,otago,base_load,electricity,1933830.485,220.7569046803653,391.056,95.655
reference,2025,southland,base_load,electricity,5906448.551,674.2521176940639,816.724,314.354
reference,2025,taranaki,base_load,electricity,925521.774,105.65317054794521,167.838,65.042
reference,2025,waikato,base_load,electricity,3571050.206,407.6541331050228,687.754,236.64
reference,2025,wellington,base_load,electricity,2850372.755,325.3850176940639,635.572,160.953
reference,2025,west_coast,base_load,electricity,186697.527,21.312503082191782,41.151,6.851
reference,2030,auckland,base_load,electricity,11244116.6666434,1283.5749619455935,2190.7274569290003,713.3379014520001
reference,2030,bay_of_plenty,base_load,electricity,2104743.519939753,240.26752510727778,418.531713237,125.328650634
reference,2030,canterbury,base_load,electricity,6166775.678792454,703.9698263461706,1041.087658545,389.53192169100004
reference,2030,hawkes_bay,base_load,electricity,2027438.3971366142,231.44273939915686,379.490304996,19.80721314
reference,2030,manawatu_whanganui,base_load,electricity,1162994.277468441,132.7619038205983,265.32943367700005,42.067694262
reference,2030,marlborough,base_load,electricity,425081.15264326805,48.525245735532884,82.213183503,0.0
reference,2030,nelson,base_load,electricity,747794.9589178531,85.36472133765446,152.49125139600002,0.0
reference,2030,northland,base_load,electricity,876775.048316673,100.08847583523665,206.91582021000002,53.897922177000005
reference,2030,otago,base_load,electricity,2135105.495709285,243.73350407640243,431.757499536,105.61086805500001
reference,2030,southland,base_load,electricity,6521197.622636631,744.4289523557798,901.7294506440002,347.072278674
reference,2030,taranaki,base_load,electricity,1021851.005759694,116.6496581917459,185.306746878,71.811636402
reference,2030,waikato,base_load,electricity,3942728.6824906864,450.08318293272674,759.336124074,261.26972784000003
reference,2030,wellington,base_load,electricity,3147042.401713155,359.2514157206798,701.722969332,177.705149193
reference,2030,west_coast,base_load,electricity,206129.19230768702,23.530729715489386,45.434037231000005,7.564058931000001
reference,2040,auckland,base_load,electricity,13744111.192852313,1564.6756822463926,2670.483398412,869.554547856
reference,2040,bay_of_plenty,base_load,electricity,2572513.6681181723,292.8635778823056,510.187603836,152.774860152
reference,2040,canterbury,base_load,electricity,7537561.326985736,858.1012439646786,1269.0795012600001,474.837034948
reference,2040,hawkes_bay,base_load,electricity,2478475.3999445243,282.1579462596225,462.59636548800006,24.144871920000003
reference,2040,manawatu_whanganui,base_load,electricity,1421891.80345976,161.87292844487249,323.43496015600005,51.280262535999995
reference,2040,marlborough,base_load,electricity,519700.81122994004,59.16448215277095,100.217368884,0.0
reference,2040,nelson,base_load,electricity,913899.618535532,104.04139555277004,185.88590468800004,0.0
reference,2040,northland,base_load,electricity,1071605.354121284,121.99514505023726,252.22912188,65.701238156
reference,2040,otago,base_load,electricity,2609485.6445618123,297.07259159401326,526.309756608,128.73900354
reference,2040,southland,base_load,electricity,7971438.337695724,907.495257023648,1099.202696432,423.078989272
reference,2040,taranaki,base_load,electricity,1249071.407661184,142.19847537126412,225.887793384,87.537946456
reference,2040,waikato,base_load,electricity,4820833.20155064,548.8198089196994,925.6261004720001,318.48620352
reference,2040,wellington,base_load,electricity,3846066.6044667442,437.84911253036705,855.396016496,216.62149220400002
reference,2040,west_coast,base_load,electricity,251974.88203132802,28.685665076426233,55.38381406800001,9.220541668000001
reference,2050,auckland,base_load,electricity,16708162.959053874,1907.3245387047803,3255.305190654,1059.982411752
reference,2050,bay_of_plenty,base_load,electricity,3127537.605732078,357.0248408369952,621.916000662,186.231749484
reference,2050,canterbury,base_load,electricity,9163502.659026803,1046.0619473774889,1547.00122467,578.823843466
reference,2050,hawkes_bay,base_load,electricity,3012666.279894964,343.9116757870963,563.902531896,29.432471640000003
reference,2050,manawatu_whanganui,base_load,electricity,1728148.015933966,197.27717076871758,394.265512102,62.51036981199999
reference,2050,marlborough,base_load,electricity,631648.121390968,72.1059499304758,122.16444457799999,0.0
reference,2050,nelson,base_load,electricity,1111183.777612678,126.8474631977943,226.59393829600003,0.0
reference,2050,northland,base_load,electricity,1302841.372071998,148.7261840264838,307.46597046,80.089463102
reference,2050,otago,base_load,electricity,3172653.89667391,362.1751023600354,641.568819936,156.93216693
reference,2050,southland,base_load,electricity,9690154.931461906,1106.1820698015874,1339.922294744,515.731058524
reference,2050,taranaki,base_load,electricity,1518416.575555044,173.3352255199822,275.356029828,106.708295452
reference,2050,waikato,base_load,electricity,5858686.394264836,668.799816696899,1128.3333389240001,388.23300384
reference,2050,wellington,base_load,electricity,4676338.64408953,533.8286123389875,1042.723236632,264.060457518
reference,2050,west_coast,base_load,electricity,306297.082981362,34.96542043166233,67.512577506,11.239791706
