generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count
gas_flexible,auckland,gas_flexible,1213001.59667486,44.57032529082298,0.30638297872340425,300.0,0.0,2025,2025,,flexible,1
solar_flexible,auckland,solar_flexible,1276287.9268766062,0.0,1.0,294.0,0.0,2025,2025,,flexible,1
thermal_other_flexible,auckland,thermal_other_flexible,,11.3082292115467,1.0,0.0,0.0,,,,flexible,1
wind_flexible,auckland,wind_flexible,2722986.8969169846,0.0,1.0,335.0,0.0,2027,2027,,flexible,1
geo_flexible,bay_of_plenty,geo_flexible,6941435.879077787,0.0,0.3,283.5,0.0,2030,2030,,flexible,1
hydro_flexible,bay_of_plenty,hydro_flexible,,0.0,1.0,172.9,0.0,,,,flexible,1
solar_fixed,bay_of_plenty,solar_fixed,1120401.2373924952,0.0,1.0,876.0,0.0,2025,2025,2024,fixed,1
hydro_flexible,canterbury,hydro_flexible,5535734.976596031,0.0,1.0,1982.3,0.0,,,,flexible,3
solar_fixed,canterbury,solar_fixed,1049836.8378787288,0.0,1.0,1889.0,0.0,2020,2020,2024,fixed,1
thermal_other_flexible,canterbury,thermal_other_flexible,2518865.56292352,16.0122942884802,0.3157894736842105,10.0,0.0,2035,2035,,flexible,1
wind_flexible,canterbury,wind_flexible,2226693.9722378366,0.0,1.0,270.6,0.0,2025,2025,,flexible,1
diesel_flexible,hawkes_bay,diesel_flexible,,48.13065058164584,0.32727272727272727,155.0,0.0,,,,flexible,1
hydro_flexible,hawkes_bay,hydro_flexible,,0.0,1.0,138.0,0.0,,,,flexible,1
solar_fixed,hawkes_bay,solar_fixed,1178576.1488112917,0.0,1.0,453.0,0.0,2025,2025,2024,fixed,1
wind_fixed,hawkes_bay,wind_fixed,2359735.4290015153,0.0,1.0,376.0,0.0,2024,,2024,fixed,1
hydro_flexible,manawatu_whanganui,hydro_flexible,,0.0,1.0,39.0,0.0,,,,flexible,1
solar_flexible,manawatu_whanganui,solar_flexible,1170524.169544887,0.0,1.0,494.0,0.0,2024,2024,,flexible,1
wind_flexible,manawatu_whanganui,wind_flexible,2364214.612436203,0.0,1.0,2319.15,0.0,2024,2024,,flexible,1
hydro_flexible,marlborough,hydro_flexible,5303485.85082285,0.0,1.0,72.0,0.0,,,,flexible,1
solar_flexible,marlborough,solar_flexible,2078759.081056856,0.0,1.0,65.0,0.0,2026,2026,,flexible,1
wind_flexible,marlborough,wind_flexible,2133422.222355882,0.0,1.0,125.0,0.0,,,,flexible,1
hydro_flexible,nelson,hydro_flexible,,0.0,1.0,32.0,0.0,,,,flexible,1
solar_flexible,nelson,solar_flexible,1002308.01130435,0.0,1.0,130.0,0.0,,,,flexible,1
diesel_flexible,northland,diesel_flexible,,50.89876373976726,0.3300935264991748,9.0,0.0,,,,flexible,1
gas_flexible,northland,gas_flexible,1213001.59667486,44.57032529082298,0.30638297872340425,100.0,0.0,2030,2030,,flexible,1
geo_flexible,northland,geo_flexible,9147422.765050804,0.0,0.3,142.0,0.0,2026,2026,,flexible,1
solar_fixed,northland,solar_fixed,1110737.9313628231,0.0,1.0,549.7,0.0,2024,2024,2024,fixed,1
wind_flexible,northland,wind_flexible,2165766.8494875394,0.0,1.0,548.0,0.0,2024,2024,,flexible,1
hydro_flexible,otago,hydro_flexible,5837698.970981747,0.0,1.0,1581.0,0.0,,,,flexible,3
solar_flexible,otago,solar_flexible,1133380.347037991,0.0,1.0,879.0,0.0,2025,2025,,flexible,1
thermal_other_flexible,otago,thermal_other_flexible,2518865.56292352,16.0122942884802,0.3157894736842105,10.0,0.0,2030,2030,,flexible,1
