asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,commissioning_year_assumption,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped,decommissioning_year,decommissioning_year_source
gas_peaker_auckland_generic_ocgt_peaker_3_otahuhu,gas_peaker,auckland,gas_peaker,1213001.596675,44.570325,0.306383,100.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,False,Generic,Generic OCGT peaker: 3 (Otahuhu),generic_ocgt_peaker_3_otahuhu,GasPkr,"Peaker, gas-fired OCGT",PELE,OTA,Auckland,5.418526,2.650366,11750,13.192934,134.493094,1,,
gas_peaker_auckland_generic_ocgt_peaker_4_southdown,gas_peaker,auckland,gas_peaker,1213001.596675,44.570325,0.306383,100.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,False,Generic,Generic OCGT peaker: 4 (Southdown),generic_ocgt_peaker_4_southdown,GasPkr,"Peaker, gas-fired OCGT",PELE,SWN,Auckland,5.418526,2.650366,11750,13.192934,134.493094,1,,
gas_peaker_auckland_generic_ocgt_peaker_7_otahuhu,gas_peaker,auckland,gas_peaker,1213001.596675,44.570325,0.306383,100.0,0.0,2035.0,2035.0,,flexible,edgs_earliest_commissioning_year,,False,Generic,Generic OCGT peaker: 7 (Otahuhu),generic_ocgt_peaker_7_otahuhu,GasPkr,"Peaker, gas-fired OCGT",PELE,OTA,Auckland,5.418526,2.650366,11750,13.192934,134.493094,1,,
other_cogeneration_auckland_glenbrook_cogeneration_power_plant,other_cogeneration,auckland,other_cogeneration,0.0,11.308229,1.0,0.0,0.0,,,,existing,edgs_status_current,,False,Current,Glenbrook cogeneration power plant,glenbrook_cogeneration_power_plant,OthCog,"Cogeneration, other",ACHP,GLN,Auckland,96.591125,0.0,1000,,,1,,
solar_auckland_generic_solar_101_200mw_60,solar,auckland,solar,1410536.446957,0.0,1.0,140.0,0.0,2030.0,2030.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (101-200MW): 60,generic_solar_101_200mw_60,Solar,Solar,PELE,PAK,Auckland,23.558811,0.0,3600,73.91,271.385103,1,,
solar_auckland_helensville_solar_farm,solar,auckland,solar,1222325.80111,0.0,1.0,53.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_applied_for_consent,2030.0,True,Applied for consent,Helensville solar farm,helensville_solar_farm,Solar,Solar,PELE,HPI,Auckland,23.558811,0.0,3600,17.664431,82.447698,1,,
solar_auckland_kaipara_solar_farm,solar,auckland,solar,1169792.543478,0.0,1.0,70.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Announced,Kaipara solar farm,kaipara_solar_farm,Solar,Solar,PELE,HPI,Auckland,23.558811,0.0,3600,34.57,116.455478,1,,
solar_auckland_lodestone_whitianga,solar,auckland,solar,1002735.562112,0.0,1.0,31.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Lodestone Whitianga,lodestone_whitianga,Solar,Solar,PELE,KPU,Auckland,23.558811,0.0,3600,14.31146,45.396263,1,,
wind_auckland_generic_wind_no_26,wind,auckland,wind,2151155.231417,0.0,1.0,100.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Generic Wind No. 26,generic_wind_no_26,Wind,Wind,PELE,GLN,Auckland,51.71159,0.0,3600,56.364455,271.479978,1,,
wind_auckland_generic_wind_no_79,wind,auckland,wind,2286119.520322,0.0,1.0,150.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Generic Wind No. 79,generic_wind_no_79,Wind,Wind,PELE,GLN,Auckland,49.544179,0.0,3600,59.886497,402.804425,1,,
wind_auckland_waiuku_wind_farm,wind,auckland,wind,4166672.462085,0.0,1.0,85.0,0.0,2027.0,2027.0,,flexible,edgs_earliest_commissioning_year,,True,Applied for consent,Waiuku Wind Farm,waiuku_wind_farm,Wind,Wind,PELE,SWN,Auckland,49.473503,0.0,3600,4.234656,358.401816,1,,
geothermal_bay_of_plenty_kawerau,geothermal,bay_of_plenty,geothermal,0.0,0.0,0.3,103.0,0.0,,,,existing,edgs_status_current,,True,Current,Kawerau,kawerau,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,,,1,,
geothermal_bay_of_plenty_kawerau_topp1,geothermal,bay_of_plenty,geothermal,0.0,0.0,0.3,21.5,0.0,,,,existing,edgs_status_current,,True,Current,Kawerau (TOPP1),kawerau_topp1,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,,,1,,
geothermal_bay_of_plenty_kawerau_topp2,geothermal,bay_of_plenty,geothermal,6558772.942697,0.0,0.3,49.0,0.0,2025.0,,2025.0,fixed,assumed_from_status_under_construction,2025.0,True,Under construction,Kawerau (TOPP2),kawerau_topp2,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,339.048982,1,,
geothermal_bay_of_plenty_taheke_geothermal_project,geothermal,bay_of_plenty,geothermal,7162029.807109,0.0,0.3,35.0,0.0,2030.0,2030.0,,flexible,edgs_earliest_commissioning_year,,True,Applied for consent,Tāheke Geothermal Project,taheke_geothermal_project,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,268.340151,1,,
geothermal_bay_of_plenty_taheke_stage_2,geothermal,bay_of_plenty,geothermal,7162029.807109,0.0,0.3,25.0,0.0,2040.0,2040.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Tāheke: Stage 2,taheke_stage_2,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,196.719853,1,,
