asset_id,from_zone,to_zone,capacity_mw,loss_fraction,enabled,expandable,discrete_expansion,module_capacity_mw,min_modules,max_modules,max_capacity_mw,capital_cost,marginal_cost,p_min_pu,bidirectional
link_northland_to_auckland,northland,auckland,900,0.02,True,False,False,,0,,,0,0,0,False
link_auckland_to_northland,auckland,northland,900,0.02,True,False,False,,0,,,0,0,0,False
link_auckland_to_waikato,auckland,waikato,2000,0.02,True,False,False,,0,,,0,0,0,False
link_waikato_to_auckland,waikato,auckland,2000,0.02,True,False,False,,0,,,0,0,0,False
link_waikato_to_bay_of_plenty,waikato,bay_of_plenty,1200,0.02,True,False,False,,0,,,0,0,0,False
link_bay_of_plenty_to_waikato,bay_of_plenty,waikato,1200,0.02,True,False,False,,0,,,0,0,0,False
link_waikato_to_taranaki,waikato,taranaki,900,0.025,True,False,False,,0,,,0,0,0,False
link_taranaki_to_waikato,taranaki,waikato,900,0.025,True,False,False,,0,,,0,0,0,False
link_waikato_to_manawatu_whanganui,waikato,manawatu_whanganui,1000,0.025,True,False,False,,0,,,0,0,0,False
link_manawatu_whanganui_to_waikato,manawatu_whanganui,waikato,1000,0.025,True,False,False,,0,,,0,0,0,False
link_manawatu_whanganui_to_hawkes_bay,manawatu_whanganui,hawkes_bay,900,0.025,True,False,False,,0,,,0,0,0,False
link_hawkes_bay_to_manawatu_whanganui,hawkes_bay,manawatu_whanganui,900,0.025,True,False,False,,0,,,0,0,0,False
link_bay_of_plenty_to_hawkes_bay,bay_of_plenty,hawkes_bay,700,0.025,True,False,False,,0,,,0,0,0,False
link_hawkes_bay_to_bay_of_plenty,hawkes_bay,bay_of_plenty,700,0.025,True,False,False,,0,,,0,0,0,False
link_taranaki_to_manawatu_whanganui,taranaki,manawatu_whanganui,800,0.025,True,False,False,,0,,,0,0,0,False
link_manawatu_whanganui_to_taranaki,manawatu_whanganui,taranaki,800,0.025,True,False,False,,0,,,0,0,0,False
link_manawatu_whanganui_to_wellington,manawatu_whanganui,wellington,1300,0.02,True,False,False,,0,,,0,0,0,False
link_wellington_to_manawatu_whanganui,wellington,manawatu_whanganui,1300,0.02,True,False,False,,0,,,0,0,0,False
link_nelson_to_marlborough,nelson,marlborough,900,0.02,True,False,False,,0,,,0,0,0,False
link_marlborough_to_nelson,marlborough,nelson,900,0.02,True,False,False,,0,,,0,0,0,False
link_nelson_to_west_coast,nelson,west_coast,700,0.03,True,False,False,,0,,,0,0,0,False
link_west_coast_to_nelson,west_coast,nelson,700,0.03,True,False,False,,0,,,0,0,0,False
link_marlborough_to_canterbury,marlborough,canterbury,1200,0.02,True,False,False,,0,,,0,0,0,False
link_canterbury_to_marlborough,canterbury,marlborough,1200,0.02,True,False,False,,0,,,0,0,0,False
link_west_coast_to_canterbury,west_coast,canterbury,800,0.03,True,False,False,,0,,,0,0,0,False
link_canterbury_to_west_coast,canterbury,west_coast,800,0.03,True,False,False,,0,,,0,0,0,False
link_canterbury_to_otago,canterbury,otago,1300,0.02,True,False,False,,0,,,0,0,0,False
link_otago_to_canterbury,otago,canterbury,1300,0.02,True,False,False,,0,,,0,0,0,False
link_otago_to_southland,otago,southland,1000,0.02,True,False,False,,0,,,0,0,0,False
link_southland_to_otago,southland,otago,1000,0.02,True,False,False,,0,,,0,0,0,False
link_wellington_to_canterbury,wellington,canterbury,1200,0.035,True,False,False,,0,,,0,0,0,False
link_canterbury_to_wellington,canterbury,wellington,1200,0.035,True,False,False,,0,,,0,0,0,False
