zone,annual_mean_mw,annual_heat_mean_mw,existing_gas_boiler_mw,installed_heat_pump_mw,allow_heat_pump,heat_pump_cop,gas_boiler_efficiency,lat,lon,enabled
northland,90.653200,32.000000,28.800000,0.000000,True,3.200000,0.900000,-35.720000,174.320000,True
auckland,1162.573183,210.000000,189.000000,0.000000,True,3.200000,0.900000,-36.850000,174.760000,True
waikato,407.654133,70.000000,63.000000,0.000000,True,3.200000,0.900000,-37.780000,175.280000,True
bay_of_plenty,217.617661,52.000000,46.800000,0.000000,True,3.200000,0.900000,-37.690000,176.160000,True
taranaki,105.653171,30.000000,27.000000,0.000000,True,3.100000,0.900000,-39.060000,174.080000,True
hawkes_bay,209.624782,34.000000,30.600000,0.000000,True,3.100000,0.900000,-39.490000,176.910000,True
manawatu_whanganui,120.246525,39.000000,35.100000,0.000000,True,3.100000,0.900000,-40.350000,175.610000,True
wellington,325.385018,95.000000,85.500000,0.000000,True,3.100000,0.900000,-41.290000,174.780000,True
nelson,77.317444,19.000000,17.100000,0.000000,True,3.000000,0.900000,-41.270000,173.280000,True
marlborough,43.950802,17.000000,15.300000,0.000000,True,3.000000,0.900000,-41.510000,173.960000,True
west_coast,21.312503,13.000000,11.700000,0.000000,True,2.900000,0.900000,-42.450000,171.210000,True
canterbury,637.607047,170.000000,153.000000,0.000000,True,2.900000,0.900000,-43.530000,172.640000,True
otago,220.756905,65.000000,58.500000,0.000000,True,2.900000,0.900000,-45.030000,170.150000,True
southland,674.252118,30.000000,27.000000,0.000000,True,2.800000,0.900000,-46.410000,168.350000,True
