scenario,year,zone,product,month,demand_tons,export_flexibility_factor,enabled
PtX,2025,taranaki,methanol,1,0.0,2.0,True
PtX,2025,taranaki,methanol,2,0.0,2.0,True
PtX,2025,taranaki,methanol,3,0.0,2.0,True
PtX,2025,taranaki,methanol,4,0.0,2.0,True
PtX,2025,taranaki,methanol,5,0.0,2.0,True
PtX,2025,taranaki,methanol,6,0.0,2.0,True
PtX,2025,taranaki,methanol,7,0.0,2.0,True
PtX,2025,taranaki,methanol,8,0.0,2.0,True
PtX,2025,taranaki,methanol,9,0.0,2.0,True
PtX,2025,taranaki,methanol,10,0.0,2.0,True
PtX,2025,taranaki,methanol,11,0.0,2.0,True
PtX,2025,taranaki,methanol,12,0.0,2.0,True
PtX,2030,taranaki,methanol,1,650.0,2.0,True
PtX,2030,taranaki,methanol,2,625.0,2.0,True
PtX,2030,taranaki,methanol,3,575.0,2.0,True
PtX,2030,taranaki,methanol,4,500.0,2.0,True
PtX,2030,taranaki,methanol,5,425.0,2.0,True
PtX,2030,taranaki,methanol,6,375.0,2.0,True
PtX,2030,taranaki,methanol,7,350.0,2.0,True
PtX,2030,taranaki,methanol,8,375.0,2.0,True
PtX,2030,taranaki,methanol,9,425.0,2.0,True
PtX,2030,taranaki,methanol,10,500.0,2.0,True
PtX,2030,taranaki,methanol,11,575.0,2.0,True
PtX,2030,taranaki,methanol,12,625.0,2.0,True
PtX,2040,taranaki,methanol,1,1950.0,2.0,True
PtX,2040,taranaki,methanol,2,1875.0,2.0,True
PtX,2040,taranaki,methanol,3,1725.0,2.0,True
PtX,2040,taranaki,methanol,4,1500.0,2.0,True
PtX,2040,taranaki,methanol,5,1275.0,2.0,True
PtX,2040,taranaki,methanol,6,1125.0,2.0,True
PtX,2040,taranaki,methanol,7,1050.0,2.0,True
PtX,2040,taranaki,methanol,8,1125.0,2.0,True
PtX,2040,taranaki,methanol,9,1275.0,2.0,True
PtX,2040,taranaki,methanol,10,1500.0,2.0,True
PtX,2040,taranaki,methanol,11,1725.0,2.0,True
PtX,2040,taranaki,methanol,12,1875.0,2.0,True
PtX,2050,taranaki,methanol,1,3250.0,2.0,True
PtX,2050,taranaki,methanol,2,3125.0,2.0,True
PtX,2050,taranaki,methanol,3,2875.0,2.0,True
PtX,2050,taranaki,methanol,4,2500.0,2.0,True
PtX,2050,taranaki,methanol,5,2125.0,2.0,True
PtX,2050,taranaki,methanol,6,1875.0,2.0,True
PtX,2050,taranaki,methanol,7,1750.0,2.0,True
PtX,2050,taranaki,methanol,8,1875.0,2.0,True
PtX,2050,taranaki,methanol,9,2125.0,2.0,True
PtX,2050,taranaki,methanol,10,2500.0,2.0,True
PtX,2050,taranaki,methanol,11,2875.0,2.0,True
PtX,2050,taranaki,methanol,12,3125.0,2.0,True
