asset_id,storage,zone,technology,installed_power_mw,p_nom_max_mw,max_hours,capital_cost,marginal_cost,efficiency_store,efficiency_dispatch,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count
bess_2h_northland,bess_2h,northland,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_northland,bess_4h,northland,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_northland,bess_6h,northland,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_northland,bess_8h,northland,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_auckland,bess_2h,auckland,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_auckland,bess_4h,auckland,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_auckland,bess_6h,auckland,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_auckland,bess_8h,auckland,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_waikato,bess_2h,waikato,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_waikato,bess_4h,waikato,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_waikato,bess_6h,waikato,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_waikato,bess_8h,waikato,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_bay_of_plenty,bess_2h,bay_of_plenty,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_bay_of_plenty,bess_4h,bay_of_plenty,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_bay_of_plenty,bess_6h,bay_of_plenty,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_bay_of_plenty,bess_8h,bay_of_plenty,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_taranaki,bess_2h,taranaki,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_taranaki,bess_4h,taranaki,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_taranaki,bess_6h,taranaki,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_taranaki,bess_8h,taranaki,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_hawkes_bay,bess_2h,hawkes_bay,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_hawkes_bay,bess_4h,hawkes_bay,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_hawkes_bay,bess_6h,hawkes_bay,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_hawkes_bay,bess_8h,hawkes_bay,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_manawatu_whanganui,bess_2h,manawatu_whanganui,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_manawatu_whanganui,bess_4h,manawatu_whanganui,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_manawatu_whanganui,bess_6h,manawatu_whanganui,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_manawatu_whanganui,bess_8h,manawatu_whanganui,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_wellington,bess_2h,wellington,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_wellington,bess_4h,wellington,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_6h_wellington,bess_6h,wellington,bess,0,,6,95000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_8h_wellington,bess_8h,wellington,bess,0,,8,115000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_2h_nelson,bess_2h,nelson,bess,0,,2,55000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
bess_4h_nelson,bess_4h,nelson,bess,0,,4,75000,0,0.95,0.95,0.001,2030,2030,,flexible,False,1
