scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type
BAU_base,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RT_base,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RT_partial,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RT_full_ptx,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RH_base,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RH_partial,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RH_full_ptx,2025,punta_arenas_1,base_load,TRUE,1,,,,base_2025,electricity
RT_full_ptx,2025,punta_arenas_2,ptx_export,TRUE,,0,,,constant,electricity
RH_full_ptx,2025,punta_arenas_2,ptx_export,TRUE,,0,,,constant,electricity
BAU_base,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RT_base,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RT_partial,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RT_partial,2030,punta_arenas_1,ev,TRUE,,,3588,2000,ev,electricity
RT_partial,2030,punta_arenas_1,heating,TRUE,,,2871,5000,heating,electricity
RT_partial,2030,punta_arenas_1,cooking,TRUE,,,2871,600,cooking,electricity
RT_partial,2030,punta_arenas_1,process_electrification,TRUE,,1500,,,process_electrification,electricity
RT_full_ptx,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RT_full_ptx,2030,punta_arenas_1,ev,TRUE,,,71765,2000,ev,electricity
RT_full_ptx,2030,punta_arenas_1,heating,TRUE,,,57412,5000,heating,electricity
RT_full_ptx,2030,punta_arenas_1,cooking,TRUE,,,57412,600,cooking,electricity
RT_full_ptx,2030,punta_arenas_1,process_electrification,TRUE,,30000,,,process_electrification,electricity
RT_full_ptx,2030,punta_arenas_2,ptx_export,TRUE,,100000,,,constant,electricity
RH_base,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RH_partial,2030,punta_arenas_1,base_load,TRUE,1.104081,,,,base_2025,electricity
RH_partial,2030,punta_arenas_1,ev,TRUE,,,3588,2000,ev,electricity
RH_partial,2030,punta_arenas_1,heating,TRUE,,,2871,5000,heating,electricity
