technology,year,base_year,capital_cost,marginal_cost,efficiency,max_hours,efficiency_store,efficiency_dispatch,standing_loss,co2_emissions,annual_change,capital_cost_annual_change,marginal_cost_annual_change,co2_emissions_annual_change
wind,2030,2030,110000,0,1.0,,,,,0.0,,-0.01,,
solar,2030,2030,60000,0,1.0,,,,,0.0,,-0.02,,
ocgt,2030,2030,45000,140,0.38,,,,,0.202,,,0.015,
bess,2030,2030,75000,0,,4.0,0.95,0.95,0.001,0.0,,-0.015,,
natural_gas,2030,2030,0,45,1.0,,,,,0.202,,,0.02,0.0
gas_boiler,2030,2030,0,0,0.9,,,,,0.0,,,,
heat_pump,2030,2030,65000,0,3.0,,,,,0.0,,-0.01,,
asu,2030,2030,50000,0,5.0,,,,,0.0,,-0.01,,
dac,2030,2030,150000,0,1.0,,,,,0.0,,-0.01,,
ammonia_synthesis,2030,2030,120000,0,0.1694915254237288,,,,,0.0,,-0.005,,
methanol_synthesis,2030,2030,130000,0,0.16,,,,,0.0,,-0.005,,
ammonia_storage,2030,2030,80,0,,,,,0,0.0,,,,
methanol_storage,2030,2030,60,0,,,,,0,0.0,,,,
