scenario,year,zone,component,demand_type,annual_energy_mwh,mean_mw,max_mw,min_mw
reference,2030,punta_arenas_1,base_load,electricity,318840.08776953124,36.397270293325484,52.2758375,20.159628027343746
reference,2030,punta_arenas_1,cooking,electricity,3499.9999999999995,0.39954337899543374,0.9357376786471474,0.07197948144763437
reference,2030,punta_arenas_1,ev,electricity,12000.0,1.36986301369863,4.369021023542174,0.49647966176619995
reference,2030,punta_arenas_1,heating,electricity,18000.0,2.0547945205479454,4.204021546183384,0.8118989838336789
reference,2030,punta_arenas_1,process_electrification,electricity,7999.999999999998,0.9132420091324199,1.3351781044142654,0.42058110289049366
reference,2030,punta_arenas_1,ptx_export,electricity,25000.0,2.853881278538813,2.853881278538813,2.853881278538813
reference,2040,punta_arenas_1,base_load,electricity,375260.08112226566,42.72086533723425,61.3672875,23.66565029296875
reference,2040,punta_arenas_1,cooking,electricity,5000.0,0.569216757741348,1.333115740461393,0.10254688028253922
reference,2040,punta_arenas_1,ev,electricity,13500.0,1.5368852459016393,4.900788323419517,0.5569077640249945
reference,2040,punta_arenas_1,heating,electricity,26000.000000000004,2.9599271402550094,6.063439144735063,1.1709978234095868
reference,2040,punta_arenas_1,process_electrification,electricity,12000.0,1.366120218579235,1.998576014589605,0.6295514445957257
reference,2040,punta_arenas_1,ptx_export,electricity,42000.0,4.781420765027322,4.781420765027322,4.781420765027322
reference,2050,punta_arenas_1,base_load,electricity,429740.9878632813,49.057190395351746,70.4587375,27.171672558593748
reference,2050,punta_arenas_1,cooking,electricity,6999.999999999999,0.7990867579908675,1.8714753572942948,0.14395896289526874
reference,2050,punta_arenas_1,ev,electricity,30000.0,3.4246575342465753,10.919643756576113,1.2408686087019407
reference,2050,punta_arenas_1,heating,electricity,34000.0,3.8812785388127855,7.9409295872352805,1.5335869694636157
reference,2050,punta_arenas_1,process_electrification,electricity,18000.0,2.0547945205479454,3.0068531194013026,0.9471587326114101
reference,2050,punta_arenas_1,ptx_export,electricity,70000.0,7.9908675799086755,7.9908675799086755,7.9908675799086755
