year,name,bus,carrier,energy_mwh
2040,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,46193.409633786185
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,638.2695685140046
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,802.0631260748017
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,286862.4410423187
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,19351.116134091248
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,76473.83759638111
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,46146.67604643858
2040,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,46193.409633786185
2040,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,44701.97710986415
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,0.0
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,377855.70754135016
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,7.475185407823345e-13
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,3.015192749209058e-12
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,-1.0784045050978173e-11
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,-1.508910254060309e-11
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,-3.3814242126617903e-11
2050,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,1.5337088636139622e-08
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,26033.27281597605
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,24265.437068864703
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,345718.96405677043
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,26690.09649413068
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,5.664337216059606e-11
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,76366.81112862096
2050,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,1.5337088636139622e-08
2050,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,58399.9999999954
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,0.0
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,365246.7271840194
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,22527.785946622276
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,15337.574794079272
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,2.5888827711828394e-11
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,2.537105115759183e-11
