year,name,bus,carrier,energy_mwh
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,17.97493361469134
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,8.861312006463486
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,240212.7521160949
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,0.0
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,96803.69310659617
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,17507.374621462914
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,961.9930579370996
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,334736.01812432957
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,0.0
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,0.0
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,0.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,7564.916451885884
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,7574.703543806129
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,334902.92971330613
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,40763.36532783337
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,0.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,19204.36957476779
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,7711.062542018238
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,333026.14609013416
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,88095.05084213342
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,59087.02158531022
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,43504.635679266124
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,42029.79492679547
