scenario,year,zone,component,enabled,growth_factor,annual_energy_mwh,unit_count,energy_per_unit_kwh_per_year,profile_type,demand_type,source
BAU_base,2025,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
BAU_base,2030,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
BAU_base,2040,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
BAU_base,2050,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RT_base,2025,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RT_base,2030,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RT_base,2040,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RT_base,2050,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RE_base,2025,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RE_base,2030,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RE_base,2040,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RE_base,2050,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RH_base,2025,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RH_base,2030,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RH_base,2040,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
RH_base,2050,hanga_roa,base_load,TRUE,1.0,13346,,,base_load,electricity,SASIPA Memoria Corporativa 2025
