scenario,year,zone,component,demand_type,annual_energy_mwh,mean_mw,max_mw,min_mw
BAU_base,2025,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RE_base,2025,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RH_base,2025,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RT_base,2025,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
BAU_base,2030,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RE_base,2030,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RH_base,2030,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RT_base,2030,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
BAU_base,2040,hanga_roa,base_load,electricity,13380.63557968,1.5232964002367941,2.03400082,1.11447625
RE_base,2040,hanga_roa,base_load,electricity,13380.63557968,1.5232964002367941,2.03400082,1.11447625
RH_base,2040,hanga_roa,base_load,electricity,13380.63557968,1.5232964002367941,2.03400082,1.11447625
RT_base,2040,hanga_roa,base_load,electricity,13380.63557968,1.5232964002367941,2.03400082,1.11447625
BAU_base,2050,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RE_base,2050,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RH_base,2050,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
RT_base,2050,hanga_roa,base_load,electricity,13346.0,1.5235159817351598,2.03400082,1.11447625
