scenario,paper_id,technology,demand,demand_profile_code,enable_ptx,ptx_demand_code,year,objective,solver,status,condition,co2_tons,co2_cap_tons,demand_file,ptx_monthly_demand_file,export_dir
BAU_base,S1,BAU,base,BAU_base,False,,2030,19737974.51776067,gurobi,ok,optimal,44340.644067875764,,input_punta_arenas\demand_profiles_scenarios\demand_profiles_BAU_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_BAU_base_2026_07_14_6
BAU_base,S1,BAU,base,BAU_base,False,,2050,21405753.353630196,gurobi,ok,optimal,65887.8530665969,,input_punta_arenas\demand_profiles_scenarios\demand_profiles_BAU_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_BAU_base_2026_07_14_6
RT_base,S2,VRE + BESS + thermal,base,RT_base,False,,2030,19737974.51776066,gurobi,ok,optimal,44340.644067875735,44340.644067875764,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RT_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RT_base_2026_07_14_3
RT_base,S2,VRE + BESS + thermal,base,RT_base,False,,2050,24617368.844110012,gurobi,ok,optimal,32943.92653329843,32943.92653329845,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RT_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RT_base_2026_07_14_3
RE_base,S3,VRE + BESS,base,RE_base,False,,2030,19737974.51776066,gurobi,ok,optimal,44340.644067875735,44340.644067875764,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RE_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RE_base_2026_07_14_3
RE_base,S3,VRE + BESS,base,RE_base,False,,2050,142628752.6025382,gurobi,ok,optimal,0.0,0.0,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RE_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RE_base_2026_07_14_3
RH_base,S4,VRE + BESS + hydrogen,base,RH_base,False,,2030,19737974.51776069,gurobi,ok,optimal,44340.64406787568,44340.644067875764,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RH_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RH_base_2026_07_14_2
RH_base,S4,VRE + BESS + hydrogen,base,RH_base,False,,2050,106026634.48299153,gurobi,ok,optimal,0.0,0.0,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RH_base.csv,input_punta_arenas/ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_RH_base_2026_07_14_2
PTX_base,S5,VRE + BESS + hydrogen + PtX export,base + PtX export,RH_base,True,PTX_base,2030,135131198.68991432,gurobi,ok,optimal,44340.64406787572,44340.644067875764,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RH_base.csv,input_punta_arenas\ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_PTX_base_2026_07_14_2
PTX_base,S5,VRE + BESS + hydrogen + PtX export,base + PtX export,RH_base,True,PTX_base,2050,63878937.97103629,gurobi,ok,optimal,0.0,0.0,input_punta_arenas\demand_profiles_scenarios\demand_profiles_RH_base.csv,input_punta_arenas\ptx_monthly_demand.csv,C:\Users\vse23\OneDrive - University of Canterbury\Vicente\Analysis\0_PyPSA-Isolated\model\output\output_punta_arenas_PTX_base_2026_07_14_2
