scenario,paper_id,technology,demand_pathway,demand_profile_code,enable_ptx,year,status,condition,objective,demand_mwh,peak_demand_mw,co2_tons,co2_cap_tons,cost_per_mwh,co2_intensity_t_per_mwh,cap_ocgt_mw,cap_slack_mw,cap_solar_mw,cap_wind_mw,cap_bess_mw,energy_bess_mwh,linkcap_electricity_mw,generation_ocgt_mwh,generation_slack_mwh,generation_solar_mwh,generation_wind_mwh,bess_discharge_mwh,bess_charge_mwh,electrolyzer_input_mwh,h2_fuel_cell_output_mwh,h2_turbine_output_mwh,h2_to_power_mwh,uhs_injection_mwh,uhs_withdrawal_mwh,asu_electricity_mwh,dac_electricity_mwh,ammonia_synthesis_h2_input_mwh,methanol_synthesis_h2_input_mwh,ammonia_export_t,methanol_export_t,ammonia_storage_t,methanol_storage_t,curtailment_wind_mwh,curtailment_solar_mwh,curtailment_total_mwh,linkcap_electrolyzer_mw,linkcap_h2_fuel_cell_mw,linkcap_uhs_injection_mw,linkcap_uhs_withdrawal_mw,store_hydrogen_storage_mwh,store_uhs_storage_mwh,cap_ptx_shortfall_mw,linkcap_ammonia_synthesis_mw,linkcap_asu_mw,linkcap_dac_mw,linkcap_methanol_export_mw,linkcap_methanol_synthesis_mw,store_ammonia_storage_mwh,store_methanol_storage_mwh,generation_ptx_shortfall_mwh,h2_storage_total_mwh,uhs_storage_total_mwh,thermal_generation_mwh,slack_generation_mwh
BAU_base,S1,BAU,base,BAU_base,False,2030,ok,optimal,19737974.51776067,306090.9927669609,50.18848603725001,44340.644067875764,,64.48400960556187,0.14486098943013995,80.0,2000000.0,0.0,69.07166510256091,6.63474519879376,51.05422823876322,400.0,83413.09280095441,0.0,0.0,257442.94165128726,6813.694618511229,7685.88108741954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90850.80423340944,0.0,90850.80423340944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83413.09280095441,0.0
RT_base,S2,VRE + BESS + thermal,base,RT_base,False,2030,ok,optimal,19737974.51776066,306090.9927669609,50.18848603725001,44340.644067875735,44340.644067875764,64.48400960556182,0.14486098943013986,80.0,2000000.0,0.0,69.07166510256087,6.6347451987937855,51.054228238763265,400.0,83413.09280095436,0.0,0.0,257423.05152035615,6774.277528555134,7639.176041548515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90870.6943643404,0.0,90870.6943643404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83413.09280095436,0.0
RE_base,S3,VRE + BESS,base,RE_base,False,2030,ok,optimal,19737974.51776066,306090.9927669609,50.18848603725001,44340.644067875735,44340.644067875764,64.48400960556182,0.14486098943013986,80.0,2000000.0,0.0,69.07166510256087,6.6347451987937855,51.054228238763265,400.0,83413.09280095436,0.0,0.0,257423.05152035615,6774.277528555134,7639.176041548515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90870.6943643404,0.0,90870.6943643404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83413.09280095436,0.0
RH_base,S4,VRE + BESS + hydrogen,base,RH_base,False,2030,ok,optimal,19737974.51776069,306090.9927669609,50.18848603725001,44340.64406787568,44340.644067875764,64.48400960556192,0.14486098943013967,80.0,2000000.0,0.0,69.0716651025614,6.634745198793557,51.054228238762896,400.0,83413.09280095425,0.0,0.0,257326.81831715108,6711.222295673465,7565.13451558936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90966.92756754809,0.0,90966.92756754809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83413.09280095425,0.0
PTX_base,S5,VRE + BESS + hydrogen + PtX export,base + PtX export,RH_base,True,2030,ok,optimal,135131198.68991432,306090.9927669609,50.18848603725001,44340.64406787572,44340.644067875764,441.4739469083137,0.1448609894301398,80.0,2000000.0,0.0,500.9269817006237,0.0,0.0,400.0,83413.09280095433,0.0,0.0,2067302.445510569,0.0,0.0,1562644.5316284331,0.0,0.0,0.0,0.0,0.0,0.0,240647.25787077867,0.0,1093851.172139903,0.0,174999.9999999992,0.0,1004.3422526875129,458620.95031555044,0.0,458620.95031555044,335.97078478956655,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,51.73950085759331,54.25347222222223,235.17954935269643,0.0,1004.3422526875129,0.0,0.0,0.0,83413.09280095433,0.0
BAU_base,S1,BAU,base,BAU_base,False,2050,ok,optimal,21405753.353630196,454835.0340957163,74.57743709350001,65887.8530665969,,47.062674923861586,0.14486098943013995,80.0,2000000.0,0.0,102.63684294653386,9.858880627066515,75.86388423846104,400.0,123947.44636290509,0.0,0.0,338859.01940571505,9762.847584090812,10981.47134408008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178687.07482189027,0.0,178687.07482189027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123947.44636290509,0.0
RT_base,S2,VRE + BESS + thermal,base,RT_base,False,2050,ok,optimal,24617368.844110012,454835.0340957163,74.57743709350001,32943.92653329843,32943.92653329845,54.12373058080985,0.07243049471506992,80.0,2000000.0,98.79627998401645,124.56544783435659,40.62565562634337,322.9815116591599,400.0,61973.7231814525,0.0,46975.491668659844,393398.0757595593,49360.072151372464,56557.93281381673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234722.96880498342,59437.95409255437,294160.9228975378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61973.7231814525,0.0
RE_base,S3,VRE + BESS,base,RE_base,False,2050,ok,optimal,142628752.6025382,454835.0340957163,74.57743709350001,0.0,0.0,313.5834795270479,0.0,80.0,2000000.0,353.3762623143312,755.8881357737447,361.12149419055925,2886.948220172887,400.0,0.0,51.10388955795065,104760.16844016255,366453.28835034603,44413.01827945664,51561.240165721996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445111.2640246437,275861.3056595746,3720972.569684218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.10388955795065
RH_base,S4,VRE + BESS + hydrogen,base,RH_base,False,2050,ok,optimal,106026634.48299153,454835.0340957163,74.57743709350001,0.0,0.0,233.11008725128042,0.0,80.0,2000000.0,413.2441788265637,334.6261218482202,102.5922513992498,818.7142778424128,400.0,0.0,86.89587985570331,164102.1395635024,405593.4810548348,84085.62470895128,97586.07409579396,55355.5978219757,10634.272671994428,0.0,10634.272671994428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281758.1308735765,281003.05080209044,1562761.181675667,14.707331468201861,59.72632480614258,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,86.89587985570331
PTX_base,S5,VRE + BESS + hydrogen + PtX export,base + PtX export,RH_base,True,2050,ok,optimal,63878937.97103629,454835.0340957163,74.57743709350001,0.0,0.0,140.44419005241687,0.0,80.0,2000000.0,223.27108485458382,525.8157138530784,93.1089451580277,744.8715612642216,400.0,0.0,77.78101287013735,198509.8245496794,2198193.3644748083,83245.3214156157,96881.13711332824,1688112.0804004073,42399.83958703723,0.0,42399.83958703723,0.0,0.0,0.0,240624.99999999878,0.0,1093749.9999999946,0.0,174999.99999999913,0.0,1930.5971673891565,453231.4180462435,41975.39900392524,495206.81705016876,340.1056956875247,62.73864854376085,0.0,0.0,9023.080093091965,0.0,1000000000.0,0.0,0.0,51.73950085759331,54.25347222222223,235.17954935269643,0.0,1930.5971673891565,0.0,9023.080093091965,0.0,0.0,77.78101287013735
