year,name,bus,carrier,p_nom_opt_mw
2040,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,1000000.0
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2040,gas_supply_punta_arenas_2,gas_punta_arenas_2,natural_gas,1000000.0
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,57.97220823512332
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,12.743853057523948
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,19.441065392067316
2050,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,1000000.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2050,gas_supply_punta_arenas_2,gas_punta_arenas_2,natural_gas,1000000.0
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,86.95831235268497
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,19.11577958628592
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,29.161598088100973
