year,name,bus,carrier,energy_mwh
2040,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,0.0
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,1095.2500359717674
2040,gas_supply_punta_arenas_2,gas_punta_arenas_2,natural_gas,0.0
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,84.3404486304985
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,196397.1357604804
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,6367.533827294257
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,77996.9582633965
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,16832.099161877028
2040,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,0.0
2040,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,0.0
2040,gas_boiler_punta_arenas_2,gas_punta_arenas_2,gas_boiler,0.0
2040,heat_pump_punta_arenas_2,elec_punta_arenas_2,heat_pump,0.0
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,972.1384843747364
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,279052.9805730528
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,0.0
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,0.0
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,0.0
2050,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,0.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,7986.084588076532
2050,gas_supply_punta_arenas_2,gas_punta_arenas_2,natural_gas,0.0
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,9287.896396392056
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,313351.07765733055
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,11461.710438459475
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,0.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,16029.747257872143
2050,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,0.0
2050,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,0.0
2050,gas_boiler_punta_arenas_2,gas_punta_arenas_2,gas_boiler,0.0
2050,heat_pump_punta_arenas_2,elec_punta_arenas_2,heat_pump,0.0
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,7797.161037224471
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,278268.9883471343
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,96933.09110800362
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,64245.05096518727
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,67853.1637756025
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,65556.17445427272
