year,name,bus,carrier,energy_mwh
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,15.440908089354817
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,16.277500726045847
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,201471.22200268478
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,5973.6338041128
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,74595.86949469306
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,23550.937465676776
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,976.6499374999997
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,278924.4646778497
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,0.0
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,0.0
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,0.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,7764.933969492278
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,7727.515667131253
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,315839.67763537174
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,8925.591114524788
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,0.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,17419.578069607152
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,7762.433874999999
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,277242.57532738463
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,95646.05400830552
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,63377.98796483439
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,66949.35265702374
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,64668.47226126969
