year,name,bus,carrier,p_nom_opt_mw
2025,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2025,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2025,wind_punta_arenas_2,elec_punta_arenas_2,wind,0.0
2025,solar_punta_arenas_2,elec_punta_arenas_2,solar,0.0
2025,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2025,bess_punta_arenas_2,elec_punta_arenas_2,bess,0.0
2030,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2030,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2030,wind_punta_arenas_2,elec_punta_arenas_2,wind,57.65488508108941
2030,solar_punta_arenas_2,elec_punta_arenas_2,solar,15.269752979847325
2030,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2030,bess_punta_arenas_2,elec_punta_arenas_2,bess,6.959392092148146
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,57.786938679908914
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,15.872275768045307
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,7.110175774813779
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,1000000.0
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,1000000.0
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,86.68040801986336
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,23.808413652067962
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,80.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,10.665263662220669
